annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	7	0.00985915492957747	1.03668014613062	0.845630013022229
UTR5	68533	0.00279438366924883	1	0.00140845070422535	0.504029106570024	1
downstream	277044	0.0112962693777213	23	0.0323943661971831	2.86770482483995	1.01382130192476e-05
exonic	264904	0.0108012696295025	2	0.0028169014084507	0.260793546043573	0.0420338434510514
intergenic	11376644	0.463874457625636	297	0.41830985915493	0.901773857728811	0.0159749748908969
intronic	8979212	0.366120896145261	356	0.501408450704225	1.36951606964626	2.27749259251229e-13
ncRNA_exonic	257913	0.0105162166443461	6	0.00845070422535211	0.803587878716393	0.852491078357392
ncRNA_intronic	2807030	0.114454624649316	0	0	0	5.52072796097747e-38
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	18	0.0253521126760563	2.42260836342651	0.000659310825610963
