# MEAN_SAMPLE_SIZE = 26644
# TOTAL_GENES = 12086
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   12086   0.00028628     0.007319   0.00047799      0.27462
9_pcw        COVAR   12086   0.00024315    0.0050958   0.00058511      0.33887
12_pcw       COVAR   12086   0.00014821    0.0036948   0.00056503      0.39655
13_pcw       COVAR   12086   6.3645e-05    0.0016353   0.00054502      0.45352
16_pcw       COVAR   12086  -0.00024018    -0.005627   0.00066161       0.6417
17_pcw       COVAR   12086  -0.00066575    -0.015074   0.00073157      0.81859
19_pcw       COVAR   12086  -0.00025187   -0.0069439   0.00052807       0.6833
21_pcw       COVAR   12086  -0.00071861    -0.016669   0.00073734      0.83511
24_pcw       COVAR   12086   0.00011922     0.003218   0.00063781      0.42586
26_pcw       COVAR   12086    0.0014639     0.028231    0.0010561     0.082867
37_pcw       COVAR   12086    0.0010061     0.026939    0.0006584     0.063265
4_mos        COVAR   12086  -0.00087101    -0.021274    0.0013169      0.74583
10_mos       COVAR   12086  -0.00082002    -0.022369   0.00082474      0.83994
1_yrs        COVAR   12086  -0.00061209    -0.013444   0.00095957      0.73822
2_yrs        COVAR   12086     0.001246     0.023739   0.00064453     0.026622
3_yrs        COVAR   12086   0.00031808    0.0072791   0.00074982      0.33571
4_yrs        COVAR   12086   0.00031274    0.0098499    0.0005288      0.27713
8_yrs        COVAR   12086  -0.00068204    -0.018453   0.00093199      0.76785
11_yrs       COVAR   12086   -0.0001062   -0.0026752   0.00090092      0.54692
13_yrs       COVAR   12086   -0.0013346    -0.028765    0.0010615      0.89566
15_yrs       COVAR   12086  -6.7766e-05   -0.0015337   0.00093935      0.52875
18_yrs       COVAR   12086   0.00043001    0.0085206   0.00087824       0.3122
19_yrs       COVAR   12086   -0.0012517    -0.030545   0.00082972      0.93428
21_yrs       COVAR   12086   -0.0013391    -0.030016    0.0009078      0.92988
23_yrs       COVAR   12086  -0.00085464    -0.018047    0.0010571      0.79059
30_yrs       COVAR   12086   -0.0016423    -0.044004   0.00068873      0.99144
36_yrs       COVAR   12086   -0.0013148    -0.026801    0.0010628      0.89196
37_yrs       COVAR   12086  -0.00063297    -0.013212    0.0010285      0.73086
40_yrs       COVAR   12086  -0.00081638    -0.021939    0.0007664       0.8566
