# MEAN_SAMPLE_SIZE = 54889
# TOTAL_GENES = 12090
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   12090   8.7318e-05    0.0022358   0.00049208      0.42958
9_pcw        COVAR   12090    0.0002112    0.0044332   0.00060204      0.36287
12_pcw       COVAR   12090    0.0001212    0.0030242   0.00058237      0.41757
13_pcw       COVAR   12090   0.00029342    0.0075466   0.00056126      0.30057
16_pcw       COVAR   12090   0.00020138    0.0047245    0.0006816      0.38383
17_pcw       COVAR   12090  -2.3092e-05  -0.00052348   0.00075374      0.51222
19_pcw       COVAR   12090   0.00070437     0.019444   0.00054423     0.097805
21_pcw       COVAR   12090   5.9023e-05    0.0013701   0.00075964      0.46903
24_pcw       COVAR   12090   0.00010565    0.0028555   0.00065683      0.43611
26_pcw       COVAR   12090   0.00024089    0.0046537    0.0010865      0.41227
37_pcw       COVAR   12090  -8.5404e-05   -0.0022913   0.00067751      0.55015
4_mos        COVAR   12090    0.0012352     0.030251    0.0013524      0.18055
10_mos       COVAR   12090   0.00057369     0.015696   0.00084831      0.24944
1_yrs        COVAR   12090   -0.0021716    -0.047806   0.00098708      0.98609
2_yrs        COVAR   12090    0.0007121     0.013627   0.00066389      0.14174
3_yrs        COVAR   12090   0.00052095     0.011963   0.00077179      0.24985
4_yrs        COVAR   12090   0.00090862      0.02873     0.000544      0.04745
8_yrs        COVAR   12090   0.00089995     0.024424   0.00095772       0.1737
11_yrs       COVAR   12090   -0.0011108    -0.028056   0.00092594      0.88485
13_yrs       COVAR   12090   -0.0010649    -0.023013    0.0010912      0.83543
15_yrs       COVAR   12090   -0.0026817    -0.060816   0.00096566      0.99725
18_yrs       COVAR   12090   0.00080639     0.016035   0.00090423      0.18626
19_yrs       COVAR   12090   -0.0017285    -0.042293   0.00085295      0.97863
21_yrs       COVAR   12090   -0.0019886    -0.044648   0.00093335      0.98343
23_yrs       COVAR   12090    -0.001499    -0.031739    0.0010868      0.91607
30_yrs       COVAR   12090  -0.00068272    -0.018353   0.00070819      0.83248
36_yrs       COVAR   12090   -0.0025061     -0.05121    0.0010921      0.98912
37_yrs       COVAR   12090   -0.0021735    -0.045476    0.0010571       0.9801
40_yrs       COVAR   12090  -7.8666e-06  -0.00021203    0.0007879      0.50398
