# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14329
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Microglia                           COVAR   14329      0.01166     0.013713    0.0090397     0.098563 Microglia
Miscellaneous                       COVAR   14329   -0.0034668   -0.0031962     0.010417      0.63035 Miscellaneous
Vascular                            COVAR   14329     0.017125     0.018569      0.01056     0.052449 Vascular
Fibroblast                          COVAR   14329    0.0036982    0.0042058     0.010033      0.35621 Fibroblast
Astrocyte                           COVAR   14329    0.0060881    0.0068298     0.010297      0.27718 Astrocyte
Ependymal                           COVAR   14329    0.0057189     0.010155     0.005345      0.14233 Ependymal
Committed_oligodendrocyte_pr...     COVAR   14329  -9.5333e-05  -0.00013401    0.0095413      0.50399 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14329    0.0047837    0.0069381     0.010533      0.32485 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14329   -0.0057448   -0.0077178    0.0085751      0.74855 Oligodendrocyte
Splatter                            COVAR   14329     -0.01165    -0.024591     0.011197      0.85093 Splatter
Amygdala_excitatory                 COVAR   14329  -0.00090936   -0.0028731    0.0034109      0.60511 Amygdala_excitatory
Upper_layer_intratelencephal...     COVAR   14329     0.003492    0.0074332    0.0059538      0.27877 Upper_layer_intratelencephalic
Midbrain_derived_inhibitory         COVAR   14329    0.0092177     0.021059    0.0085608      0.14081 Midbrain_derived_inhibitory
MGE_interneuron                     COVAR   14329   0.00081997    0.0019337    0.0079367      0.45886 MGE_interneuron
CGE_interneuron                     COVAR   14329     0.005648      0.01005     0.011434      0.31067 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14329   -0.0027039     -0.00581    0.0080888      0.63091 LAMP5_LHX6_and_Chandelier
Thalamic_excitatory                 COVAR   14329    -0.012094    -0.029474    0.0074006      0.94887 Thalamic_excitatory
Medium_spiny_neuron                 COVAR   14329    -0.017187    -0.033671    0.0082948      0.98086 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   14329    0.0023678     0.004361    0.0088103      0.39406 Eccentric_medium_spiny_neuron
Upper_rhombic_lip                   COVAR   14329   -0.0068914    -0.013993    0.0047014      0.92864 Upper_rhombic_lip
