# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14207
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14207   -0.0025798   -0.0054713    0.0066763       0.6504 neuron
oligodendrocyte                     COVAR   14207    -0.012613    -0.015267     0.010187      0.89215 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14207   -0.0023308   -0.0031999     0.010675      0.58641 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14207    0.0032016    0.0041003     0.010056       0.3751 astrocyte
fibroblast                          COVAR   14207   -0.0072792   -0.0076364     0.013614      0.70356 fibroblast
pericyte                            COVAR   14207   -0.0015989   -0.0016927      0.01288      0.54939 pericyte
vascular_associated_smooth_m...     COVAR   14207   -0.0004375  -0.00046445     0.010557      0.51653 vascular_associated_smooth_muscle_cell
endothelial_cell                    COVAR   14207     0.012474     0.013957     0.010783      0.12369 endothelial_cell
central_nervous_system_macro...     COVAR   14207    0.0058013     0.006636      0.01024      0.28552 central_nervous_system_macrophage
leukocyte                           COVAR   14207   -0.0040291    -0.003815     0.011086      0.64186 leukocyte
