# MEAN_SAMPLE_SIZE = 27991
# TOTAL_GENES = 14047
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
leukocyte                           COVAR   14047    -0.009368    -0.011718    0.0090269      0.85031 leukocyte
central_nervous_system_macro...     COVAR   14047    0.0089081      0.01327    0.0083179      0.14211 central_nervous_system_macrophage
endothelial_cell                    COVAR   14047  -0.00051798  -0.00094892    0.0058544      0.53525 endothelial_cell
vascular_associated_smooth_m...     COVAR   14047    0.0030627    0.0048061    0.0073463      0.33838 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14047    0.0066355    0.0095805    0.0096166       0.2451 pericyte
fibroblast                          COVAR   14047  -0.00097697   -0.0013441     0.010588      0.53676 fibroblast
astrocyte                           COVAR   14047    0.0041942    0.0066063    0.0083561      0.30786 astrocyte
neuron                              COVAR   14047    0.0014276    0.0031714    0.0064455      0.41236 neuron
oligodendrocyte_precursor_ce...     COVAR   14047   -0.0013029   -0.0023554    0.0085647      0.56046 oligodendrocyte_precursor_cell
oligodendrocyte                     COVAR   14047    -0.011222    -0.020548    0.0072752      0.93852 oligodendrocyte
