# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14143
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
leukocyte                           COVAR   14143   -0.0055633   -0.0075572    0.0080311      0.75575 leukocyte
central_nervous_system_macro...     COVAR   14143    0.0029062    0.0047959    0.0072522      0.34431 central_nervous_system_macrophage
oligodendrocyte                     COVAR   14143    -0.010735    -0.020442    0.0068033      0.94269 oligodendrocyte
neuron                              COVAR   14143   -0.0042969    -0.010302    0.0055636      0.78003 neuron
oligodendrocyte_precursor_ce...     COVAR   14143   -0.0036402   -0.0074667     0.007192      0.69362 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14143  -0.00059508   -0.0010842    0.0080161      0.52959 astrocyte
ependymal_cell                      COVAR   14143    0.0047706    0.0099104    0.0059013      0.20944 ependymal_cell
vascular_associated_smooth_m...     COVAR   14143    0.0048663     0.013537    0.0031463     0.060983 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14143   -0.0093585    -0.016771    0.0068381      0.91442 pericyte
fibroblast                          COVAR   14143   -0.0032981   -0.0053681    0.0090852       0.6417 fibroblast
endothelial_cell                    COVAR   14143    0.0042642    0.0088438    0.0059652      0.23736 endothelial_cell
