# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14415
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14415   -0.0075913    -0.016073    0.0059336       0.8996 neuron
oligodendrocyte                     COVAR   14415    -0.013429    -0.020999     0.007574      0.96188 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14415   -0.0048229   -0.0080955    0.0080083      0.72649 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14415   -0.0021087    -0.003242    0.0081732       0.6018 astrocyte
choroid_plexus_epithelial_ce...     COVAR   14415    0.0033852    0.0092469    0.0032366      0.14781 choroid_plexus_epithelial_cell
fibroblast                          COVAR   14415   -0.0024312   -0.0031622    0.0098968      0.59702 fibroblast
pericyte                            COVAR   14415    -0.004012   -0.0047524     0.009987      0.65605 pericyte
vascular_associated_smooth_m...     COVAR   14415    0.0029788    0.0076019    0.0035438       0.2003 vascular_associated_smooth_muscle_cell
endothelial_cell                    COVAR   14415     0.012699     0.017859    0.0078674     0.053267 endothelial_cell
central_nervous_system_macro...     COVAR   14415    0.0016133    0.0019607     0.009029      0.42909 central_nervous_system_macrophage
leukocyte                           COVAR   14415    -0.016834    -0.017574    0.0095198      0.96148 leukocyte
