# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14469
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   14469   -0.0020969   -0.0044175     0.010533       0.5789 Splatter
Deep_layer_intratelencephalic       COVAR   14469    -0.018319    -0.044539     0.010948      0.95285 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   14469     -0.01706    -0.040358     0.011282      0.93474 Upper_layer_intratelencephalic
Miscellaneous                       COVAR   14469     -0.01337    -0.031504    0.0097969      0.91382 Miscellaneous
Deep_layer_corticothalamic_a...     COVAR   14469    -0.010141    -0.024282     0.010716      0.82799 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   14469    0.0010276    0.0024518    0.0095224      0.45703 Deep_layer_near_projecting
Amygdala_excitatory                 COVAR   14469  -0.00062746   -0.0020156    0.0034201      0.57278 Amygdala_excitatory
CGE_interneuron                     COVAR   14469     0.011837     0.024493     0.012634      0.17442 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14469   -0.0037133   -0.0079857     0.011138      0.63058 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   14469   -0.0037482   -0.0080372     0.012283      0.61987 MGE_interneuron
Oligodendrocyte                     COVAR   14469   -0.0045628   -0.0073312    0.0072165      0.73639 Oligodendrocyte
Committed_oligodendrocyte_pr...     COVAR   14469    0.0047492    0.0086515    0.0074369      0.26155 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14469    0.0043775    0.0073948     0.008616      0.30571 Oligodendrocyte_precursor
Astrocyte                           COVAR   14469    0.0057055    0.0082398     0.008135      0.24155 Astrocyte
Fibroblast                          COVAR   14469    0.0052271    0.0073176    0.0070248      0.22841 Fibroblast
Vascular                            COVAR   14469    0.0055535    0.0074608    0.0078439      0.23948 Vascular
Microglia                           COVAR   14469    0.0086532     0.010747    0.0081497      0.14418 Microglia
