# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14479
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Amygdala_excitatory                 COVAR   14479    -0.019841    -0.046187     0.012324      0.94629 Amygdala_excitatory
Deep_layer_corticothalamic_a...     COVAR   14479    -0.010564    -0.024827     0.010889      0.83401 Deep_layer_corticothalamic_and_6b
Miscellaneous                       COVAR   14479    -0.010408    -0.022625     0.013181       0.7851 Miscellaneous
Deep_layer_intratelencephalic       COVAR   14479    -0.020745    -0.049911     0.011599      0.96314 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   14479    -0.020173    -0.046114     0.011484       0.9605 Upper_layer_intratelencephalic
Splatter                            COVAR   14479    -0.010626    -0.023081     0.015084      0.75942 Splatter
Medium_spiny_neuron                 COVAR   14479   -0.0055775     -0.01339      0.01017      0.70829 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   14479  -0.00037721  -0.00091193     0.010397      0.51447 Eccentric_medium_spiny_neuron
Deep_layer_near_projecting          COVAR   14479   0.00041891   0.00093642    0.0098089      0.48297 Deep_layer_near_projecting
Hippocampal_CA1_3                   COVAR   14479  -0.00043025   -0.0013849     0.003593      0.54766 Hippocampal_CA1_3
Thalamic_excitatory                 COVAR   14479    0.0016013    0.0051158    0.0033371      0.31568 Thalamic_excitatory
CGE_interneuron                     COVAR   14479    0.0089091     0.018311     0.012537      0.23867 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14479   -0.0057725    -0.012433     0.011045      0.69937 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   14479   -0.0068183    -0.014699     0.012324      0.70996 MGE_interneuron
Oligodendrocyte                     COVAR   14479   -0.0034279   -0.0056967     0.007146      0.68427 Oligodendrocyte
Committed_oligodendrocyte_pr...     COVAR   14479   -0.0034932   -0.0048427    0.0097933      0.63934 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14479    0.0034396    0.0061056    0.0084518      0.34202 Oligodendrocyte_precursor
Astrocyte                           COVAR   14479    0.0052082    0.0089115    0.0073013      0.23783 Astrocyte
Fibroblast                          COVAR   14479    0.0081193     0.010354    0.0088477       0.1794 Fibroblast
Vascular                            COVAR   14479     0.017369      0.02316    0.0086441      0.02226 Vascular
Microglia                           COVAR   14479     0.010144     0.013042    0.0080764      0.10458 Microglia
