# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14426
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
leukocyte                           COVAR   14426    0.0078835     0.010407    0.0070594      0.13206 leukocyte
central_nervous_system_macro...     COVAR   14426     0.005066    0.0066039    0.0087645      0.28163 central_nervous_system_macrophage
endothelial_cell                    COVAR   14426   -0.0015176   -0.0019947    0.0075578      0.57957 endothelial_cell
vascular_associated_smooth_m...     COVAR   14426   -0.0022697   -0.0057928    0.0033882      0.74853 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14426    0.0022474    0.0032154    0.0076828      0.38495 pericyte
fibroblast                          COVAR   14426   -0.0014764   -0.0014649      0.01067      0.55502 fibroblast
oligodendrocyte                     COVAR   14426    -0.006942   -0.0094719    0.0087669      0.78577 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14426    0.0017639    0.0027734    0.0087541      0.42016 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14426    0.0043479     0.005995    0.0090333      0.31515 astrocyte
neuron                              COVAR   14426   -0.0036075   -0.0075728    0.0063454      0.71515 neuron
