# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14330
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Deep_layer_intratelencephalic       COVAR   14330   -0.0090029     -0.01934     0.010929      0.79496 Deep_layer_intratelencephalic
Miscellaneous                       COVAR   14330     -0.02669    -0.041087     0.015408      0.95837 Miscellaneous
Upper_layer_intratelencephal...     COVAR   14330    -0.006167    -0.013303      0.01114      0.71007 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   14330   -0.0059497     -0.01354     0.010009      0.72389 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   14330   0.00094541    0.0019642      0.01012      0.46279 Deep_layer_near_projecting
Splatter                            COVAR   14330   -0.0056237    -0.010374    0.0099031      0.71493 Splatter
LAMP5_LHX6_and_Chandelier           COVAR   14330   -0.0035882    -0.007086     0.011598      0.62148 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   14330     0.020191     0.037659     0.013334     0.064991 CGE_interneuron
MGE_interneuron                     COVAR   14330   -0.0055333    -0.011429     0.011949      0.67834 MGE_interneuron
Committed_oligodendrocyte_pr...     COVAR   14330   -0.0017757    -0.003043    0.0078998      0.58892 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14330    0.0013101    0.0024195    0.0085987      0.43945 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14330   -0.0072929    -0.011951    0.0072359      0.84323 Oligodendrocyte
Fibroblast                          COVAR   14330    0.0014674    0.0023946    0.0063153      0.40813 Fibroblast
Vascular                            COVAR   14330    0.0093695     0.012567    0.0083143       0.1299 Vascular
Astrocyte                           COVAR   14330    0.0053638    0.0079226    0.0082054      0.25666 Astrocyte
Microglia                           COVAR   14330     0.006832    0.0089811     0.007803      0.19064 Microglia
