# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14424
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14424   -0.0048781    -0.010878    0.0062883      0.78104 neuron
oligodendrocyte                     COVAR   14424   -0.0067464    -0.010369    0.0081262      0.79678 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14424  -0.00086727   -0.0014919    0.0083333      0.54144 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14424    0.0016622     0.002486    0.0087526      0.42469 astrocyte
fibroblast                          COVAR   14424    0.0074315       0.0108    0.0093264      0.21278 fibroblast
pericyte                            COVAR   14424    0.0003913   0.00058772    0.0073693      0.47883 pericyte
vascular_associated_smooth_m...     COVAR   14424   -0.0033703    -0.006532     0.005257      0.73927 vascular_associated_smooth_muscle_cell
endothelial_cell                    COVAR   14424    0.0064412       0.0101    0.0076428      0.19968 endothelial_cell
leukocyte                           COVAR   14424   -0.0032195   -0.0037765    0.0082054       0.6526 leukocyte
central_nervous_system_macro...     COVAR   14424     0.011624     0.014807    0.0091772      0.10266 central_nervous_system_macrophage
