# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14385
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   14385    -0.011701    -0.024427     0.011465      0.84627 Miscellaneous
Deep_layer_near_projecting          COVAR   14385   -0.0010489   -0.0024232    0.0093919      0.54446 Deep_layer_near_projecting
Deep_layer_corticothalamic_a...     COVAR   14385    -0.010745    -0.025443    0.0099998      0.85869 Deep_layer_corticothalamic_and_6b
Deep_layer_intratelencephalic       COVAR   14385    -0.020178    -0.047137     0.010826      0.96881 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   14385    -0.019811      -0.0447     0.010863      0.96589 Upper_layer_intratelencephalic
Lower_rhombic_lip                   COVAR   14385    0.0040454    0.0045569    0.0078751      0.30374 Lower_rhombic_lip
Upper_rhombic_lip                   COVAR   14385    0.0062405    0.0099553    0.0071799      0.19239 Upper_rhombic_lip
Splatter                            COVAR   14385    0.0049299     0.010203    0.0096371      0.30449 Splatter
CGE_interneuron                     COVAR   14385    0.0070224     0.014043     0.012884      0.29287 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14385   -0.0044351   -0.0095038     0.010571      0.66259 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   14385   -0.0049404    -0.009912     0.012902       0.6491 MGE_interneuron
Oligodendrocyte_precursor           COVAR   14385   0.00062942    0.0010375    0.0091728      0.47265 Oligodendrocyte_precursor
Committed_oligodendrocyte_pr...     COVAR   14385  -0.00090116   -0.0014006    0.0081474      0.54403 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14385   -0.0071112     -0.01017    0.0080111      0.81263 Oligodendrocyte
Fibroblast                          COVAR   14385    0.0018462    0.0023622    0.0079649      0.40835 Fibroblast
Vascular                            COVAR   14385    0.0061043    0.0077195    0.0080532      0.22423 Vascular
Astrocyte                           COVAR   14385    0.0022849    0.0034739    0.0078298      0.38522 Astrocyte
Microglia                           COVAR   14385     0.009205     0.010738    0.0085719      0.14145 Microglia
