# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14382
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   14382    -0.004947    -0.010856     0.011883       0.6614 Miscellaneous
Deep_layer_intratelencephalic       COVAR   14382    -0.015423    -0.036002     0.011206      0.91563 Deep_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   14382   -0.0089779    -0.020909     0.010825      0.79655 Deep_layer_corticothalamic_and_6b
Upper_layer_intratelencephal...     COVAR   14382    -0.012645    -0.028675     0.011311      0.86819 Upper_layer_intratelencephalic
Deep_layer_near_projecting          COVAR   14382    0.0055121     0.013076    0.0092941      0.27657 Deep_layer_near_projecting
Committed_oligodendrocyte_pr...     COVAR   14382   -0.0050149   -0.0078031    0.0081864      0.72992 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14382   -0.0047805    -0.007497    0.0073791      0.74145 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   14382    0.0012937    0.0022756    0.0087781      0.44142 Oligodendrocyte_precursor
Splatter                            COVAR   14382  -0.00057411    -0.001217    0.0093874      0.52438 Splatter
MGE_interneuron                     COVAR   14382   -0.0022525    -0.004787     0.012529      0.57134 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14382   -0.0048399    -0.010384     0.011207      0.66708 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   14382     0.014907     0.030774     0.012741        0.121 CGE_interneuron
Astrocyte                           COVAR   14382    0.0062819     0.010126    0.0076137      0.20467 Astrocyte
Vascular                            COVAR   14382    0.0053831    0.0070188    0.0079765      0.24988 Vascular
Fibroblast                          COVAR   14382  -0.00049695  -0.00070734    0.0072241      0.52742 Fibroblast
Microglia                           COVAR   14382    0.0087772     0.010833     0.008227      0.14302 Microglia
