# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14373
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14373    -0.004626       -0.011    0.0057761       0.7884 neuron
oligodendrocyte                     COVAR   14373   -0.0043843   -0.0074716    0.0075119      0.72027 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14373  -0.00033975  -0.00069954    0.0070759      0.51915 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14373     0.002466    0.0046185    0.0071798      0.36563 astrocyte
vascular_associated_smooth_m...     COVAR   14373   0.00052201    0.0013176    0.0034138      0.43924 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14373   -0.0011044   -0.0026086    0.0040759      0.60679 pericyte
fibroblast                          COVAR   14373     0.010518     0.017442    0.0076162     0.083653 fibroblast
endothelial_cell                    COVAR   14373    0.0042362    0.0094382    0.0046848      0.18294 endothelial_cell
leukocyte                           COVAR   14373    -0.004232   -0.0086417    0.0044968      0.82667 leukocyte
central_nervous_system_macro...     COVAR   14373    0.0027691    0.0040873     0.007854      0.36221 central_nervous_system_macrophage
