# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14372
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Microglia                           COVAR   14372    0.0057275    0.0084485    0.0072187      0.21377 Microglia
Miscellaneous                       COVAR   14372   -0.0052873   -0.0064502    0.0083385      0.73698 Miscellaneous
Vascular                            COVAR   14372     0.011625     0.016093    0.0087157     0.091147 Vascular
Fibroblast                          COVAR   14372   0.00053928   0.00077964    0.0081523      0.47363 Fibroblast
Choroid_plexus                      COVAR   14372   -0.0020967   -0.0053628    0.0037637      0.71126 Choroid_plexus
Ependymal                           COVAR   14372    0.0090104     0.016195     0.006164     0.071913 Ependymal
Astrocyte                           COVAR   14372    0.0061057    0.0084304    0.0089307       0.2471 Astrocyte
Bergmann_glia                       COVAR   14372    0.0082228      0.01591     0.006693      0.10963 Bergmann_glia
Committed_oligodendrocyte_pr...     COVAR   14372    -0.011602    -0.021274    0.0084103      0.91612 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14372    0.0033257    0.0059913    0.0087586      0.35208 Oligodendrocyte_precursor
Cerebellar_inhibitory               COVAR   14372     0.003786     0.008437    0.0080116      0.31826 Cerebellar_inhibitory
Upper_rhombic_lip                   COVAR   14372   -0.0024259   -0.0037928    0.0090539      0.60562 Upper_rhombic_lip
Splatter                            COVAR   14372    0.0033446    0.0081837    0.0073923      0.32548 Splatter
Lower_rhombic_lip                   COVAR   14372   -0.0087856     -0.02159    0.0065133       0.9113 Lower_rhombic_lip
MGE_interneuron                     COVAR   14372   -0.0011586   -0.0029803    0.0046816      0.59773 MGE_interneuron
Midbrain_derived_inhibitory         COVAR   14372    0.0077065     0.018128    0.0070383      0.13678 Midbrain_derived_inhibitory
Medium_spiny_neuron                 COVAR   14372    -0.003783    -0.011196    0.0031469      0.88534 Medium_spiny_neuron
Oligodendrocyte                     COVAR   14372   -0.0027707   -0.0050307    0.0068327      0.65744 Oligodendrocyte
