# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14432
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
central_nervous_system_macro...     COVAR   14432    0.0043681    0.0058314    0.0089275      0.31232 central_nervous_system_macrophage
leukocyte                           COVAR   14432    -0.010612    -0.014428     0.007938      0.90936 leukocyte
oligodendrocyte                     COVAR   14432    -0.012012    -0.018577    0.0082271      0.92785 oligodendrocyte
neuron                              COVAR   14432   -0.0087872    -0.018868    0.0067405      0.90381 neuron
oligodendrocyte_precursor_ce...     COVAR   14432   -0.0048391   -0.0085757    0.0085136      0.71511 oligodendrocyte_precursor_cell
endothelial_cell                    COVAR   14432     0.013561     0.019503    0.0078088     0.041238 endothelial_cell
vascular_associated_smooth_m...     COVAR   14432    0.0015898    0.0024568     0.006442      0.40254 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14432    0.0053121    0.0078487    0.0079862      0.25298 pericyte
fibroblast                          COVAR   14432   -0.0031983   -0.0048132    0.0091361      0.63686 fibroblast
ependymal_cell                      COVAR   14432     0.010586     0.018342    0.0069884     0.064919 ependymal_cell
astrocyte                           COVAR   14432    -0.001016   -0.0014953     0.010092       0.5401 astrocyte
