# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14469
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Splatter                            COVAR   14469    -0.017962    -0.039729     0.014257      0.89612 Splatter
Deep_layer_intratelencephalic       COVAR   14469    -0.021735    -0.052691     0.011835      0.96685 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   14469    -0.019904    -0.047917     0.010685      0.96874 Upper_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   14469   -0.0071324    -0.017728    0.0099791      0.76261 Deep_layer_corticothalamic_and_6b
Miscellaneous                       COVAR   14469  -0.00023154  -0.00050848     0.012729      0.50726 Miscellaneous
Amygdala_excitatory                 COVAR   14469    -0.015115    -0.037048     0.011571      0.90427 Amygdala_excitatory
Hippocampal_CA1_3                   COVAR   14469   -0.0048698    -0.012672    0.0081055      0.72601 Hippocampal_CA1_3
Eccentric_medium_spiny_neuron       COVAR   14469    -0.011115    -0.025432     0.011131      0.84099 Eccentric_medium_spiny_neuron
Medium_spiny_neuron                 COVAR   14469    -0.022507    -0.052683     0.010605      0.98308 Medium_spiny_neuron
CGE_interneuron                     COVAR   14469    0.0088593      0.01873     0.012553      0.24017 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14469   -0.0024003   -0.0053806     0.010804       0.5879 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   14469   -0.0088311    -0.019832     0.012357      0.76259 MGE_interneuron
Midbrain_derived_inhibitory         COVAR   14469     0.010764     0.026787    0.0061771     0.040717 Midbrain_derived_inhibitory
Thalamic_excitatory                 COVAR   14469   0.00036423   0.00097455    0.0034331      0.45775 Thalamic_excitatory
Deep_layer_near_projecting          COVAR   14469    0.0020397    0.0049893    0.0088125      0.40848 Deep_layer_near_projecting
Microglia                           COVAR   14469    0.0075488     0.010697    0.0071732      0.14633 Microglia
Vascular                            COVAR   14469     0.014362     0.020668    0.0074472     0.026906 Vascular
Fibroblast                          COVAR   14469   -0.0035502   -0.0050961    0.0081119      0.66918 Fibroblast
Ependymal                           COVAR   14469    0.0061225     0.012777    0.0046424     0.093628 Ependymal
Astrocyte                           COVAR   14469      0.00425    0.0081501    0.0065599      0.25854 Astrocyte
Oligodendrocyte_precursor           COVAR   14469    0.0025427     0.004827    0.0080813      0.37652 Oligodendrocyte_precursor
Committed_oligodendrocyte_pr...     COVAR   14469   -0.0046761   -0.0084592    0.0076569      0.72929 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14469   -0.0044139   -0.0071147    0.0070405      0.73464 Oligodendrocyte
