# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14381
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14381    0.0013636    0.0029785    0.0061361      0.41207 neuron
oligodendrocyte                     COVAR   14381   -0.0079981    -0.012966    0.0077659      0.84846 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14381   0.00043645   0.00083686    0.0077906      0.47766 oligodendrocyte_precursor_cell
central_nervous_system_macro...     COVAR   14381    0.0097132      0.01476    0.0077223      0.10424 central_nervous_system_macrophage
leukocyte                           COVAR   14381   0.00030552   0.00040322    0.0081335      0.48502 leukocyte
vascular_associated_smooth_m...     COVAR   14381    -0.011766    -0.022638    0.0048339      0.99253 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14381   -0.0038764   -0.0060144    0.0079374      0.68735 pericyte
fibroblast                          COVAR   14381   -0.0003916  -0.00054828    0.0098682      0.51583 fibroblast
endothelial_cell                    COVAR   14381     0.011353     0.018828    0.0074828     0.064628 endothelial_cell
astrocyte                           COVAR   14381    0.0063263     0.011196    0.0082108      0.22051 astrocyte
ependymal_cell                      COVAR   14381    0.0075816     0.014053    0.0061762      0.10982 ependymal_cell
