# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14439
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14439   -0.0047341    -0.010415    0.0062945      0.77399 neuron
oligodendrocyte                     COVAR   14439    -0.010858     -0.01435    0.0089485       0.8875 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14439   -0.0032429   -0.0049313    0.0092396       0.6372 oligodendrocyte_precursor_cell
astrocyte                           COVAR   14439  -0.00012213   -0.0001776    0.0096769      0.50503 astrocyte
ependymal_cell                      COVAR   14439    0.0038507    0.0058955    0.0074032      0.30149 ependymal_cell
choroid_plexus_epithelial_ce...     COVAR   14439   0.00047496    0.0012085    0.0041525      0.45447 choroid_plexus_epithelial_cell
endothelial_cell                    COVAR   14439    0.0023424    0.0031317    0.0087809      0.39483 endothelial_cell
vascular_associated_smooth_m...     COVAR   14439    0.0050696    0.0072941    0.0065783      0.22047 vascular_associated_smooth_muscle_cell
pericyte                            COVAR   14439  -0.00065951  -0.00086701     0.009038      0.52908 pericyte
fibroblast                          COVAR   14439   -0.0026638   -0.0031618     0.011324      0.59298 fibroblast
central_nervous_system_macro...     COVAR   14439    0.0072956    0.0082149      0.01009      0.23483 central_nervous_system_macrophage
leukocyte                           COVAR   14439   -0.0042756   -0.0047764    0.0091047      0.68068 leukocyte
