# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14367
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14367   -0.0051021    -0.012663    0.0057154      0.81398 neuron
oligodendrocyte                     COVAR   14367    -0.008656     -0.01446    0.0076389      0.87141 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14367   -0.0055082    -0.010304    0.0081313      0.75092 oligodendrocyte_precursor_cell
ependymal_cell                      COVAR   14367    0.0011972    0.0025877     0.005113      0.40744 ependymal_cell
astrocyte                           COVAR   14367     0.003021    0.0053282    0.0082149      0.35654 astrocyte
pericyte                            COVAR   14367     0.001819    0.0029014    0.0064701      0.38931 pericyte
vascular_associated_smooth_m...     COVAR   14367    0.0013826    0.0027044    0.0050497      0.39212 vascular_associated_smooth_muscle_cell
endothelial_cell                    COVAR   14367   0.00056572   0.00096838    0.0064004      0.46478 endothelial_cell
central_nervous_system_macro...     COVAR   14367    0.0085174     0.012141    0.0082724       0.1516 central_nervous_system_macrophage
leukocyte                           COVAR   14367    0.0030937    0.0039639    0.0076906      0.34375 leukocyte
