# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14265
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Upper_layer_intratelencephal...     COVAR   14265   -0.0042274    -0.010148    0.0080167      0.70101 Upper_layer_intratelencephalic
Amygdala_excitatory                 COVAR   14265    -0.017959    -0.043858    0.0096454      0.96868 Amygdala_excitatory
Medium_spiny_neuron                 COVAR   14265    -0.019643    -0.046973     0.010264      0.97216 Medium_spiny_neuron
Eccentric_medium_spiny_neuron       COVAR   14265    -0.011414    -0.027391      0.00984      0.87696 Eccentric_medium_spiny_neuron
Splatter                            COVAR   14265    -0.013207    -0.031328     0.011986      0.86473 Splatter
Miscellaneous                       COVAR   14265    -0.020533    -0.039943     0.010393      0.97589 Miscellaneous
Deep_layer_corticothalamic_a...     COVAR   14265    0.0045757     0.011724     0.007005      0.25682 Deep_layer_corticothalamic_and_6b
Deep_layer_near_projecting          COVAR   14265   -0.0041313    -0.010338    0.0081888      0.69304 Deep_layer_near_projecting
Midbrain_derived_inhibitory         COVAR   14265     0.010022     0.021779     0.007939      0.10342 Midbrain_derived_inhibitory
MGE_interneuron                     COVAR   14265    -0.010466    -0.024013    0.0096877      0.85998 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14265    0.0048771     0.010765    0.0093254       0.3005 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   14265    0.0099042     0.021374     0.011239      0.18911 CGE_interneuron
Ependymal                           COVAR   14265     0.012186     0.022059    0.0060201     0.021488 Ependymal
Astrocyte                           COVAR   14265     0.005312     0.008989     0.007606      0.24247 Astrocyte
Committed_oligodendrocyte_pr...     COVAR   14265   -0.0036647   -0.0083597    0.0052214      0.75861 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14265   -0.0068807    -0.011609    0.0069813      0.83782 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   14265   0.00059378    0.0011572    0.0080964      0.47077 Oligodendrocyte_precursor
Fibroblast                          COVAR   14265    0.0060528    0.0098341    0.0063504      0.17027 Fibroblast
Vascular                            COVAR   14265    0.0050391    0.0081765    0.0059631      0.19905 Vascular
Microglia                           COVAR   14265     0.006273     0.009459    0.0068767      0.18084 Microglia
