# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14210
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14210    -0.015653    -0.037704    0.0063589      0.99308 neuron
oligodendrocyte                     COVAR   14210    -0.015198    -0.024832     0.008448      0.96398 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14210    -0.012695    -0.022855    0.0090671      0.91925 oligodendrocyte_precursor_cell
ependymal_cell                      COVAR   14210    0.0072233     0.019925    0.0033592     0.015775 ependymal_cell
astrocyte                           COVAR   14210   -0.0056264   -0.0090766    0.0093116      0.72715 astrocyte
fibroblast                          COVAR   14210   -0.0021676   -0.0034601    0.0090938       0.5942 fibroblast
pericyte                            COVAR   14210    0.0019817    0.0033973    0.0072399      0.39215 pericyte
vascular_associated_smooth_m...     COVAR   14210     0.010437     0.015694    0.0079696     0.095184 vascular_associated_smooth_muscle_cell
endothelial_cell                    COVAR   14210    0.0034461    0.0061863    0.0074029      0.32079 endothelial_cell
central_nervous_system_macro...     COVAR   14210    0.0013031    0.0018726    0.0091275      0.44324 central_nervous_system_macrophage
leukocyte                           COVAR   14210   -0.0051487     -0.00726    0.0077046      0.74801 leukocyte
