# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14448
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   14448   -0.0032245   -0.0040501    0.0076938      0.66243 Miscellaneous
Microglia                           COVAR   14448    0.0049533    0.0074362    0.0066517      0.22824 Microglia
Fibroblast                          COVAR   14448    0.0038696    0.0050305    0.0083573      0.32168 Fibroblast
Vascular                            COVAR   14448     0.010077     0.012754    0.0088001      0.12609 Vascular
Astrocyte                           COVAR   14448    0.0060068    0.0098602    0.0072216      0.20277 Astrocyte
Ependymal                           COVAR   14448    0.0032424    0.0072753    0.0041237      0.21585 Ependymal
Upper_rhombic_lip                   COVAR   14448     0.013019     0.023864      0.00881     0.069743 Upper_rhombic_lip
Cerebellar_inhibitory               COVAR   14448    0.0037505    0.0095917    0.0041489      0.18302 Cerebellar_inhibitory
Splatter                            COVAR   14448   -0.0092162    -0.018998     0.013729      0.74898 Splatter
Mammillary_body                     COVAR   14448   -0.0027752   -0.0062833    0.0056307      0.68894 Mammillary_body
Lower_rhombic_lip                   COVAR   14448   0.00043874    0.0011353     0.007231      0.47581 Lower_rhombic_lip
Thalamic_excitatory                 COVAR   14448   -0.0098674    -0.024265    0.0082066      0.88538 Thalamic_excitatory
Midbrain_derived_inhibitory         COVAR   14448     0.015021      0.03278    0.0088664      0.04513 Midbrain_derived_inhibitory
CGE_interneuron                     COVAR   14448    0.0066295     0.012457     0.011234      0.27755 CGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14448   -0.0003135  -0.00062556     0.010071      0.51242 LAMP5_LHX6_and_Chandelier
MGE_interneuron                     COVAR   14448   -0.0026038   -0.0057809     0.010052       0.6022 MGE_interneuron
Medium_spiny_neuron                 COVAR   14448  -0.00057668   -0.0013262    0.0043524       0.5527 Medium_spiny_neuron
Deep_layer_intratelencephalic       COVAR   14448   -0.0032561   -0.0084506    0.0052823      0.73118 Deep_layer_intratelencephalic
Deep_layer_corticothalamic_a...     COVAR   14448   -0.0053695    -0.013373    0.0053391      0.84271 Deep_layer_corticothalamic_and_6b
Upper_layer_intratelencephal...     COVAR   14448    0.0022004    0.0049114     0.006765       0.3725 Upper_layer_intratelencephalic
Amygdala_excitatory                 COVAR   14448    -0.013182    -0.031367    0.0076398      0.95777 Amygdala_excitatory
Hippocampal_CA4                     COVAR   14448    -0.011699    -0.029725    0.0075018      0.94055 Hippocampal_CA4
Hippocampal_CA1_3                   COVAR   14448   -0.0032523   -0.0082817    0.0051975      0.73425 Hippocampal_CA1_3
Hippocampal_dentate_gyrus           COVAR   14448    0.0040416    0.0093709    0.0093026      0.33198 Hippocampal_dentate_gyrus
Eccentric_medium_spiny_neuron       COVAR   14448    0.0011883    0.0036275    0.0030287       0.3474 Eccentric_medium_spiny_neuron
Committed_oligodendrocyte_pr...     COVAR   14448    -0.011991    -0.020323    0.0083268      0.92506 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14448     0.001779    0.0031601     0.008471      0.41683 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14448   -0.0040803   -0.0071168    0.0065839      0.73228 Oligodendrocyte
