# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14424
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
neuron                              COVAR   14424   -0.0057129    -0.012012     0.006455      0.81192 neuron
oligodendrocyte                     COVAR   14424    -0.010761    -0.019423    0.0073476      0.92846 oligodendrocyte
oligodendrocyte_precursor_ce...     COVAR   14424   -0.0042446   -0.0078505    0.0082637      0.69625 oligodendrocyte_precursor_cell
ependymal_cell                      COVAR   14424     0.014884     0.026844    0.0065947     0.012013 ependymal_cell
astrocyte                           COVAR   14424    0.0054465    0.0083524    0.0087698      0.26729 astrocyte
fibroblast                          COVAR   14424   -0.0039447   -0.0052963      0.01074      0.64329 fibroblast
pericyte                            COVAR   14424   -0.0015938   -0.0024817    0.0080125      0.57883 pericyte
vascular_associated_smooth_m...     COVAR   14424  -0.00067388  -0.00096426    0.0077376       0.5347 vascular_associated_smooth_muscle_cell
endothelial_cell                    COVAR   14424    0.0061344    0.0088576    0.0081973      0.22713 endothelial_cell
leukocyte                           COVAR   14424   -0.0070759   -0.0084391    0.0090191      0.78363 leukocyte
central_nervous_system_macro...     COVAR   14424    0.0028675    0.0039537    0.0084734      0.36753 central_nervous_system_macrophage
