# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14407
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Miscellaneous                       COVAR   14407   -0.0051336   -0.0064216    0.0077747      0.74546 Miscellaneous
Microglia                           COVAR   14407    0.0060355    0.0083106    0.0074816      0.20992 Microglia
Vascular                            COVAR   14407    0.0091263     0.012174    0.0084933       0.1413 Vascular
Fibroblast                          COVAR   14407   6.4226e-05   8.9615e-05    0.0089203      0.49713 Fibroblast
Ependymal                           COVAR   14407      0.01163      0.02118    0.0064621     0.035965 Ependymal
Choroid_plexus                      COVAR   14407   -0.0017322   -0.0037976    0.0056828      0.61974 Choroid_plexus
Committed_oligodendrocyte_pr...     COVAR   14407    0.0015695    0.0028259    0.0093559      0.43339 Committed_oligodendrocyte_precursor
Bergmann_glia                       COVAR   14407    0.0015037    0.0026436    0.0067966      0.41246 Bergmann_glia
Astrocyte                           COVAR   14407    0.0064154     0.010057    0.0084916      0.22498 Astrocyte
Oligodendrocyte_precursor           COVAR   14407    0.0029055    0.0049725    0.0088682       0.3716 Oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14407   -0.0042336   -0.0075395     0.006836      0.73214 Oligodendrocyte
Upper_rhombic_lip                   COVAR   14407   -0.0035027    -0.005627    0.0088896      0.65321 Upper_rhombic_lip
Splatter                            COVAR   14407    -0.002712   -0.0061465    0.0092623      0.61516 Splatter
CGE_interneuron                     COVAR   14407   -0.0037117   -0.0089331     0.004313      0.80526 CGE_interneuron
Cerebellar_inhibitory               COVAR   14407   -0.0064649    -0.013369    0.0083709      0.78003 Cerebellar_inhibitory
Midbrain_derived_inhibitory         COVAR   14407    0.0050924     0.012225     0.006879      0.22957 Midbrain_derived_inhibitory
Lower_rhombic_lip                   COVAR   14407    0.0021421    0.0051108    0.0076125      0.38921 Lower_rhombic_lip
Upper_layer_intratelencephal...     COVAR   14407   -0.0040893    -0.012684    0.0037451      0.86255 Upper_layer_intratelencephalic
