# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14417
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Deep_layer_intratelencephalic       COVAR   14417   -0.0040915    -0.010576    0.0034983      0.87891 Deep_layer_intratelencephalic
Upper_layer_intratelencephal...     COVAR   14417   -0.0054416    -0.014013    0.0035098      0.93947 Upper_layer_intratelencephalic
MGE_interneuron                     COVAR   14417     0.003519    0.0085055    0.0046562       0.2249 MGE_interneuron
LAMP5_LHX6_and_Chandelier           COVAR   14417    0.0076862     0.015759    0.0053031     0.073628 LAMP5_LHX6_and_Chandelier
CGE_interneuron                     COVAR   14417    -0.010134    -0.016743     0.006923      0.92836 CGE_interneuron
Midbrain_derived_inhibitory         COVAR   14417    0.0072367      0.01509    0.0081327      0.18679 Midbrain_derived_inhibitory
Cerebellar_inhibitory               COVAR   14417   -0.0017817   -0.0035504    0.0082057      0.58594 Cerebellar_inhibitory
Splatter                            COVAR   14417    0.0048047    0.0055005     0.014408      0.36939 Splatter
Lower_rhombic_lip                   COVAR   14417  -0.00049794   -0.0011349    0.0076409      0.52598 Lower_rhombic_lip
Upper_rhombic_lip                   COVAR   14417   -0.0024916   -0.0034928      0.01066       0.5924 Upper_rhombic_lip
Miscellaneous                       COVAR   14417   -0.0021279   -0.0027538    0.0077672      0.60794 Miscellaneous
Committed_oligodendrocyte_pr...     COVAR   14417   0.00024006   0.00042508    0.0076968      0.48756 Committed_oligodendrocyte_precursor
Oligodendrocyte                     COVAR   14417   -0.0036897   -0.0067042    0.0067029        0.709 Oligodendrocyte
Oligodendrocyte_precursor           COVAR   14417    0.0012203    0.0023413    0.0085012      0.44293 Oligodendrocyte_precursor
Astrocyte                           COVAR   14417    0.0075559     0.010692      0.00861       0.1901 Astrocyte
Fibroblast                          COVAR   14417    0.0075404     0.010453    0.0085725      0.18955 Fibroblast
Vascular                            COVAR   14417     0.011379     0.015889    0.0083496     0.086473 Vascular
Microglia                           COVAR   14417    0.0040957    0.0062101    0.0068972      0.27632 Microglia
