# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14271
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Oligodendrocyte                     COVAR   14271   -0.0052426   -0.0086437    0.0074793      0.75833 Oligodendrocyte
Committed_oligodendrocyte_pr...     COVAR   14271    -0.013679    -0.022657    0.0086926       0.9422 Committed_oligodendrocyte_precursor
Oligodendrocyte_precursor           COVAR   14271    -0.001229   -0.0019054    0.0099125      0.54934 Oligodendrocyte_precursor
Upper_rhombic_lip                   COVAR   14271   -0.0041465   -0.0058957    0.0097705      0.66436 Upper_rhombic_lip
Splatter                            COVAR   14271   -0.0027699   -0.0057551    0.0090584      0.62011 Splatter
Midbrain_derived_inhibitory         COVAR   14271  -0.00073064   -0.0019768    0.0046869      0.56194 Midbrain_derived_inhibitory
Upper_layer_intratelencephal...     COVAR   14271   -0.0038671    -0.012265    0.0034858      0.86636 Upper_layer_intratelencephalic
CGE_interneuron                     COVAR   14271    0.0062077      0.01532    0.0043242     0.075575 CGE_interneuron
Cerebellar_inhibitory               COVAR   14271   -0.0097511    -0.019373     0.007637      0.89916 Cerebellar_inhibitory
Choroid_plexus                      COVAR   14271   0.00039056    0.0011802    0.0030601      0.44922 Choroid_plexus
Ependymal                           COVAR   14271     0.016896     0.024507    0.0078382     0.015568 Ependymal
Astrocyte                           COVAR   14271    0.0037908    0.0051297    0.0097331      0.34846 Astrocyte
Bergmann_glia                       COVAR   14271     0.003523    0.0065519     0.006135      0.28291 Bergmann_glia
Fibroblast                          COVAR   14271    0.0082145    0.0093652     0.010661       0.2205 Fibroblast
Vascular                            COVAR   14271    0.0077423    0.0094696    0.0094738      0.20691 Vascular
Microglia                           COVAR   14271   -0.0017029   -0.0019443    0.0092406       0.5731 Microglia
Miscellaneous                       COVAR   14271    -0.011092    -0.010567     0.010439      0.85599 Miscellaneous
