# MEAN_SAMPLE_SIZE = 27991
# TOTAL_GENES = 14934
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                      TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_L1.2_FGFR3_GFAP        COVAR   14934    0.0032241     0.005267    0.0066795      0.31466
Astro_L1.6_FGFR3_SLC14A1     COVAR   14934  -0.00072352   -0.0013275    0.0061538       0.5468
Endo_L2.6_NOSTRIN            COVAR   14934    0.0013602    0.0019819    0.0066138      0.41853
Exc_L2_LAMP5_LTK             COVAR   14934    -0.019936    -0.044411     0.010805      0.96748
Exc_L2.3_LINC00507_FREM3     COVAR   14934    -0.020889    -0.049864     0.011369      0.96691
Exc_L2.4_LINC00507_GLP2R     COVAR   14934     -0.02633    -0.059892     0.011357      0.98978
Exc_L3.4_RORB_CARM1P1        COVAR   14934    -0.009832    -0.023739     0.010757      0.81963
Exc_L3.5_RORB_COL22A1        COVAR   14934   -0.0090379    -0.019655     0.010607      0.80291
Exc_L3.5_RORB_ESR1           COVAR   14934    0.0034645    0.0076904     0.011579       0.3824
Exc_L3.5_RORB_FILIP1L        COVAR   14934    -0.011765    -0.027137     0.011411      0.84873
Exc_L3.5_RORB_TWIST2         COVAR   14934   -0.0023856   -0.0052849     0.011044      0.58551
Exc_L4.5_FEZF2_SCN4B         COVAR   14934    -0.011864    -0.029343    0.0090478       0.9051
Exc_L4.5_RORB_DAPK2          COVAR   14934    -0.026239    -0.058983     0.011858      0.98654
Exc_L4.5_RORB_FOLH1B         COVAR   14934    -0.013682    -0.033231        0.011      0.89319
Exc_L4.6_FEZF2_IL26          COVAR   14934    0.0037591    0.0086386     0.010432       0.3593
Exc_L4.6_RORB_C1R            COVAR   14934   -0.0046046    -0.010566     0.011223      0.65919
