# MEAN_SAMPLE_SIZE = 27991
# TOTAL_GENES = 14691
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
ASC1         COVAR   14691    -0.058036   -0.0024549      0.30901      0.57449
ASC2         COVAR   14691     -0.51006    -0.022859      0.27718      0.96712
END          COVAR   14691    -0.063486   -0.0050075      0.12062      0.70067
exCA1        COVAR   14691     0.089116    0.0087256         0.22      0.34272
exCA3        COVAR   14691      0.21907     0.017559      0.22771      0.16802
exDG         COVAR   14691    -0.064272   -0.0052207      0.22083      0.61449
exPFC1       COVAR   14691     -0.20201    -0.017097      0.25879      0.78247
exPFC2       COVAR   14691    -0.068664    -0.009754      0.17391      0.65351
GABA1        COVAR   14691    -0.033024   -0.0025641      0.24716      0.55315
GABA2        COVAR   14691     0.045717     0.003467      0.24627      0.42637
MG           COVAR   14691     -0.11244   -0.0038847      0.31626       0.6389
NSC          COVAR   14691    -0.042709    -0.003622      0.12139      0.63752
ODC1         COVAR   14691     -0.59037     -0.02215      0.29637       0.9768
ODC2         COVAR   14691     -0.35772    -0.015924      0.24976      0.92395
OPC          COVAR   14691     -0.11841   -0.0042121      0.37113      0.62515
