# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14371
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Astro           COVAR   14371      0.02052    0.0055038     0.042027      0.31269
ID2             COVAR   14371     0.012149    0.0063568     0.051729      0.40716
L2.3_CUX2       COVAR   14371    -0.052735     -0.03435     0.041205      0.89968
L4_RORB         COVAR   14371    -0.040341    -0.030762      0.03758      0.85846
L5.6_THEMIS     COVAR   14371   -0.0041008   -0.0041151     0.027622      0.55901
L5.6_TLE4       COVAR   14371     0.010339    0.0086955     0.033608      0.37918
LAMP5_NOS1      COVAR   14371   0.00051739   0.00037652     0.030663      0.49327
Micro           COVAR   14371     0.045931    0.0079754     0.058205      0.21503
Oligo           COVAR   14371    -0.036777    -0.011307     0.034628      0.85588
OPC             COVAR   14371    0.0018173   0.00063241     0.042491      0.48294
PV              COVAR   14371    -0.012572    -0.008217     0.039202      0.62577
PV_SCUBE3       COVAR   14371    -0.010427   -0.0057103     0.038828      0.60586
SST             COVAR   14371    0.0046771    0.0024869     0.049849      0.46262
Vas             COVAR   14371   -0.0020092  -0.00030738     0.087837      0.50912
VIP             COVAR   14371     0.091721     0.044387     0.055702     0.049829
