# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14371
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                 TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev.1             COVAR   14371     0.058731    0.0087403     0.079529      0.23012
Astro_dev.2             COVAR   14371    -0.014256      -0.0021      0.09915      0.55716
Astro_dev.3             COVAR   14371    -0.015155   -0.0032475     0.055038      0.60848
Astro_GFAP              COVAR   14371     -0.01926   -0.0033566     0.072824      0.60429
BKGR_NRGN               COVAR   14371    0.0047421    0.0010402     0.051049      0.46299
CCK_RELN                COVAR   14371   -0.0014643  -0.00040849     0.078632      0.50743
CCK_SORCS1              COVAR   14371     0.091533       0.0198     0.090862      0.15688
CCK_SYT6                COVAR   14371    -0.071169     -0.02072     0.072134      0.83808
CGE_dev                 COVAR   14371     -0.06268    -0.011884     0.095157      0.74495
ID2_CSMD1               COVAR   14371     0.016575     0.004514     0.071665      0.40855
ID2_dev                 COVAR   14371     -0.34216    -0.065135      0.14212      0.99196
L2_CUX2_LAMP5           COVAR   14371    0.0014218   0.00026497     0.050381      0.48874
L2.3_CUX2_dev.2         COVAR   14371   -0.0095579   -0.0037637     0.064398      0.55899
L2.3_CUX2_dev.3         COVAR   14371     0.017741    0.0084304     0.034094      0.30141
L2.3_CUX2_dev.4         COVAR   14371    -0.040692   -0.0081017     0.085165       0.6836
L2.3_CUX2_dev.6         COVAR   14371    -0.064829    -0.018967     0.093425      0.75613
L2.3_CUX2_dev.fetal     COVAR   14371   0.00078024    0.0003123     0.043386      0.49283
L3_CUX2_PRSS12          COVAR   14371    -0.052862    -0.010703     0.047445      0.86739
L4_RORB_dev.1           COVAR   14371    -0.057666    -0.030797     0.041033      0.92003
L4_RORB_dev.2           COVAR   14371     0.084572     0.029445     0.073045      0.12348
L4_RORB_dev.fetal       COVAR   14371   -0.0059726   -0.0025207     0.043483      0.55462
L4_RORB_LRRK1           COVAR   14371     0.030995    0.0056602     0.066642      0.32093
L4_RORB_MME             COVAR   14371     0.026082     0.013622     0.024885       0.1473
L5.6_THEMIS_CNR1        COVAR   14371    -0.033816   -0.0057211     0.058797      0.71739
L5.6_THEMIS_dev.1       COVAR   14371      0.01969    0.0077464     0.050979      0.34966
L5.6_THEMIS_dev.2       COVAR   14371     0.088749     0.030507     0.066655     0.091529
L5.6_THEMIS_NTNG2       COVAR   14371   -0.0028056  -0.00092395     0.036121      0.53096
L5.6_TLE4_dev           COVAR   14371    -0.054472    -0.017655     0.063797       0.8034
L5.6_TLE4_HTR2C         COVAR   14371    -0.020967   -0.0064354     0.065126      0.62625
L5.6_TLE4_SCUBE1        COVAR   14371     -0.03646    -0.013288     0.057218        0.738
L5.6_TLE4_SORCS1        COVAR   14371     0.011183    0.0037337     0.066066      0.43279
LAMP5_NDNF              COVAR   14371    -0.014664   -0.0044178     0.067678      0.58577
LAMP5_NOS1              COVAR   14371   -0.0049643   -0.0014606     0.068908      0.52872
MGE_dev.1               COVAR   14371    -0.043503   -0.0074977     0.098259      0.67102
MGE_dev.2               COVAR   14371    -0.020142   -0.0049124     0.084395      0.59431
Micro                   COVAR   14371     0.079812      0.01149     0.077656      0.15204
Micro_out               COVAR   14371     0.039039    0.0089297     0.040047      0.16483
OPC_dev                 COVAR   14371   -0.0070655   -0.0014411     0.073305      0.53839
OPC                     COVAR   14371     0.016987    0.0029132     0.097847      0.43109
OPC_MBP                 COVAR   14371    -0.034017   -0.0076792     0.057995      0.72125
PN_dev                  COVAR   14371    -0.083885     -0.03002     0.056861      0.92992
PV_dev                  COVAR   14371     0.044218     0.010904      0.10854      0.34187
