# MEAN_SAMPLE_SIZE = 27990
# TOTAL_GENES = 14371
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE               TYPE  NGENES         BETA     BETA_STD           SE            P
Astro_dev.1           COVAR   14371     0.021408    0.0070344     0.035313      0.27219
Astro_dev.2           COVAR   14371     0.025517    0.0053247      0.06365      0.34426
Astro_dev.3           COVAR   14371    -0.024837    -0.011956     0.022599      0.86411
Astro_dev.4           COVAR   14371   -0.0066182   -0.0019909     0.038149      0.56886
Astro_dev.5           COVAR   14371      0.10389     0.015687     0.078053     0.091602
Astro_GFAP            COVAR   14371    0.0019211   0.00052953     0.044026       0.4826
Astro_SLC1A2_dev      COVAR   14371     0.023331    0.0075704     0.036063      0.25884
Astro_SLC1A2          COVAR   14371     0.064968     0.014839     0.044013      0.06997
BKGR_NRGN             COVAR   14371     0.025309     0.005007     0.068182      0.35525
CCK_RELN              COVAR   14371    -0.043193    -0.019744     0.050803      0.80239
CCK_SORCS1            COVAR   14371   -0.0073914    -0.003145     0.052601      0.55587
CCK_SYT6              COVAR   14371    -0.069304    -0.033189     0.048117       0.9251
CGE_dev               COVAR   14371     0.003501    0.0010049     0.032882      0.45761
ID2_CSMD1             COVAR   14371     0.028476      0.01217     0.055887      0.30519
ID2_dev               COVAR   14371    -0.055238     -0.01661     0.073413       0.7741
L2_CUX2_LAMP5_dev     COVAR   14371     -0.02564   -0.0096329     0.061959      0.66049
L2_CUX2_LAMP5         COVAR   14371     -0.01147    -0.003123      0.03902       0.6156
L2.3_CUX2_dev.1       COVAR   14371    0.0056385    0.0025572     0.051527      0.45643
L2.3_CUX2_dev.2       COVAR   14371    -0.050567     -0.02744     0.045981      0.86426
L2.3_CUX2_dev.3       COVAR   14371    -0.046613    -0.029663     0.038919      0.88447
L2.3_CUX2_dev.4       COVAR   14371     -0.06039    -0.016556     0.044499      0.91261
L2.3_CUX2_dev.5       COVAR   14371    0.0098628    0.0052305     0.039201      0.40068
L2.3_CUX2_dev.6       COVAR   14371     -0.00168  -0.00048941     0.073666       0.5091
L3_CUX2_PRSS12        COVAR   14371    0.0040067    0.0026249     0.033631      0.45258
L4_RORB_dev.1         COVAR   14371   0.00090095   0.00052207     0.036349      0.49011
L4_RORB_dev.2         COVAR   14371    -0.015492   -0.0090553     0.039835      0.65133
L4_RORB_LRRK1         COVAR   14371   -0.0020208  -0.00092898     0.050076      0.51609
L4_RORB_MET           COVAR   14371     0.030257     0.013408      0.04922      0.26938
L4_RORB_MME           COVAR   14371    -0.030473    -0.014583      0.04643      0.74418
L5.6_THEMIS_CNR1      COVAR   14371     0.047388     0.023951     0.040348      0.12011
L5.6_THEMIS_dev.2     COVAR   14371     0.039213     0.019599     0.044234      0.18769
L5.6_THEMIS_NTNG2     COVAR   14371    0.0093564    0.0048435       0.0377        0.402
L5.6_TLE4_HTR2C       COVAR   14371     0.010485    0.0044902     0.047546      0.41273
L5.6_TLE4_SCUBE1      COVAR   14371    -0.025396    -0.012269     0.043024      0.72249
L5.6_TLE4_SORCS1      COVAR   14371     0.019369    0.0085323     0.047932      0.34308
LAMP5_CCK             COVAR   14371    -0.021111    -0.008869     0.051431      0.65927
LAMP5_NDNF            COVAR   14371    -0.019835    -0.010021     0.043848      0.67449
LAMP5_NOS1            COVAR   14371    -0.014092   -0.0059868     0.051647      0.60752
Micro                 COVAR   14371     0.036317    0.0068921     0.053329      0.24794
Micro_out             COVAR   14371     0.098027     0.016411     0.066833     0.071236
Oligo_mat             COVAR   14371    -0.010442   -0.0032784     0.032101      0.62752
Oligo.2               COVAR   14371    -0.021324   -0.0055575     0.035103      0.72822
Oligo.4               COVAR   14371    -0.011931   -0.0034724     0.037977       0.6233
OPC_dev               COVAR   14371    -0.029963   -0.0074355     0.060727      0.68913
OPC                   COVAR   14371    0.0039234   0.00096845      0.06366      0.47543
OPC_MBP               COVAR   14371    -0.022284   -0.0063791     0.045792      0.68674
PV_dev                COVAR   14371    -0.033022    -0.014168     0.056126      0.72185
PV_SCUBE3_dev         COVAR   14371     0.026898     0.011542     0.048457      0.28942
PV_SCUBE3             COVAR   14371    -0.012692   -0.0049309     0.050028      0.60014
PV_SST                COVAR   14371    -0.071707    -0.028404     0.063623      0.87013
PV_SULF1_dev          COVAR   14371     0.064894     0.024664     0.057109      0.12792
PV_SULF1              COVAR   14371      0.01664    0.0060333     0.061827      0.39391
PV_WFDC2              COVAR   14371    -0.026284    -0.010076     0.057022      0.67758
SST_ADGRG6_dev        COVAR   14371    -0.010137   -0.0038271     0.060291      0.56676
SST_ADGRG6            COVAR   14371     0.071232     0.024852     0.063625      0.13146
SST_B3GAT2            COVAR   14371     0.027085    0.0093177     0.065499      0.33961
SST_BRINP3            COVAR   14371    -0.028281    -0.011371     0.055579      0.69457
SST_CALB1_dev         COVAR   14371    -0.039126    -0.013136     0.069025      0.71458
SST_CALB1             COVAR   14371    -0.015341   -0.0053189     0.059146      0.60232
SST_NPY               COVAR   14371    -0.024693    -0.012413     0.035537      0.75642
SST_STK32A            COVAR   14371     0.030247      0.01052     0.058011      0.30105
SST_TH                COVAR   14371     0.045774      0.01935     0.049639      0.17823
Vas_CLDN5             COVAR   14371     0.069606     0.016694     0.040526      0.04295
Vas_PDGFRB            COVAR   14371     0.038079    0.0077767     0.051021      0.22774
Vas_TBX18             COVAR   14371    -0.036965   -0.0073772     0.056333      0.74414
VIP_ABI3BP            COVAR   14371     0.028755     0.010984     0.063939      0.32646
VIP_ADAMTSL1          COVAR   14371       0.1169     0.037649     0.076883     0.064212
VIP_CHRM2             COVAR   14371     0.064813     0.022946     0.064008      0.15564
VIP_CRH               COVAR   14371   -0.0037506   -0.0013274     0.066658      0.52243
VIP_dev               COVAR   14371     0.039371     0.015324     0.039524       0.1596
VIP_DPP6              COVAR   14371    0.0029249    0.0011367     0.062323      0.48128
VIP_HS3ST3A1          COVAR   14371     0.077412     0.029458     0.063471      0.11131
VIP_KIRREL3           COVAR   14371     0.062113     0.019922     0.074616      0.20259
VIP_PCDH20            COVAR   14371     0.054088     0.019701     0.061933      0.19125
