# MEAN_SAMPLE_SIZE = 27989
# TOTAL_GENES = 14752
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Glut_2       COVAR   14752     -0.17728     -0.04119      0.14512      0.88905
Glut_5       COVAR   14752    -0.014078    -0.001742      0.25759      0.52179
GABA_1       COVAR   14752     0.013808    0.0013788      0.16619      0.46689
GABA_2       COVAR   14752      0.18881     0.022763      0.21538      0.19035
GABA_4       COVAR   14752    -0.085907    -0.012938      0.16339      0.70047
GABA_5       COVAR   14752     0.077776    0.0085141      0.24497      0.37544
GABA_3       COVAR   14752      0.55082     0.063992      0.23029     0.008389
Glut_6       COVAR   14752     0.072211     0.012036       0.1112      0.25805
Glut_4       COVAR   14752     -0.16204    -0.035975      0.14414      0.86953
Glut_1       COVAR   14752     -0.21281    -0.032294      0.23256      0.81992
Glut_3       COVAR   14752      0.23203     0.038761      0.20222      0.12561
