annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	10	0.0116009280742459	1.21982582657066	0.480195601483703
UTR5	68533	0.00279438366924883	1	0.00116009280742459	0.415151584297815	0.738835645288065
downstream	277044	0.0112962693777213	2	0.00232018561484919	0.205393970103537	0.0057431135457215
exonic	264904	0.0108012696295025	4	0.00464037122969838	0.429613498122823	0.0959741134806065
intergenic	11376644	0.463874457625636	288	0.334106728538283	0.720252480053385	1.1242192393109e-14
intronic	8979212	0.366120896145261	495	0.574245939675174	1.5684598877616	3.07090205929902e-35
ncRNA_exonic	257913	0.0105162166443461	2	0.00232018561484919	0.220629309315019	0.0111921576983794
ncRNA_intronic	2807030	0.114454624649316	58	0.0672853828306264	0.587878235910396	3.91475270191982e-06
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	2	0.00232018561484919	0.221713320189845	0.0111454955585702
