ensg	entrez	symbol
ENSG00000228219	NA	NPM1P30
ENSG00000148444	23412	COMMD3
ENSG00000269897	100532731	COMMD3-BMI1
ENSG00000168283	648	BMI1
ENSG00000272516	NA	RP11-573G6.9
ENSG00000271981	NA	RP11-573G6.8
ENSG00000272366	NA	RP11-573G6.10
ENSG00000077327	9576	SPAG6
ENSG00000165309	219681	ARMC3
ENSG00000148450	22921	MSRB2
ENSG00000252049	NA	SNORA40
ENSG00000168267	256297	PTF1A
ENSG00000204566	NA	C10orf115
ENSG00000227537	NA	RP11-215C7.3
ENSG00000179133	256815	C10orf67
ENSG00000224215	NA	RP11-371A19.2
ENSG00000264574	100616217	MIR1254-2
ENSG00000238515	NA	snoU13
ENSG00000165312	220213	OTUD1
ENSG00000223928	NA	RP11-183E9.2
ENSG00000207930	693188	MIR603
ENSG00000269879	NA	AL353583.1
ENSG00000151023	219670	ENKUR
ENSG00000185875	79896	THNSL1
ENSG00000231422	NA	RP11-80K21.3
