Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	2107	0	1	1	
DEG.up	Adipose_Visceral_Omentum	1764	0	1	1	
DEG.up	Adrenal_Gland	1540	1	0.722160344309163	1	ENSG00000185875
DEG.up	Artery_Aorta	2756	2	0.667385870184945	1	ENSG00000168283:ENSG00000148450
DEG.up	Artery_Coronary	2038	1	0.819008971517351	1	ENSG00000168283
DEG.up	Artery_Tibial	2711	1	0.899785591588911	1	ENSG00000168283
DEG.up	Bladder	842	0	1	1	
DEG.up	Brain_Amygdala	1820	1	0.781459582583655	1	ENSG00000151023
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2370	1	0.864553191962849	1	ENSG00000151023
DEG.up	Brain_Caudate_basal_ganglia	2212	3	0.265109428628196	1	ENSG00000077327:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Cerebellar_Hemisphere	6301	0	1	1	
DEG.up	Brain_Cerebellum	6164	0	1	1	
DEG.up	Brain_Cortex	2792	1	0.906756604991785	1	ENSG00000151023
DEG.up	Brain_Frontal_Cortex_BA9	3132	1	0.931262999991683	1	ENSG00000151023
DEG.up	Brain_Hippocampus	1965	3	0.210990676842935	1	ENSG00000077327:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Hypothalamus	2531	3	0.337578635005969	1	ENSG00000077327:ENSG00000165309:ENSG00000151023
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	2451	2	0.601483128983634	1	ENSG00000165309:ENSG00000151023
DEG.up	Brain_Putamen_basal_ganglia	1741	1	0.766089233473261	1	ENSG00000151023
DEG.up	Brain_Spinal_cord_cervical_c-1	2224	1	0.846074997278492	1	ENSG00000151023
DEG.up	Brain_Substantia_nigra	1645	1	0.746012089671928	1	ENSG00000151023
DEG.up	Breast_Mammary_Tissue	1964	0	1	1	
DEG.up	Cells_Cultured_fibroblasts	4335	2	0.884648079143449	1	ENSG00000168283:ENSG00000185875
DEG.up	Cells_EBV-transformed_lymphocytes	5069	1	0.988772478202784	1	ENSG00000185875
DEG.up	Cervix_Ectocervix	193	0	1	1	
DEG.up	Cervix_Endocervix	1829	0	1	1	
DEG.up	Colon_Sigmoid	1637	1	0.744266295047677	1	ENSG00000148450
DEG.up	Colon_Transverse	1602	0	1	1	
DEG.up	Esophagus_Gastroesophageal_Junction	1287	1	0.65553157554557	1	ENSG00000148450
DEG.up	Esophagus_Mucosa	2231	0	1	1	
DEG.up	Esophagus_Muscularis	1311	1	0.662457881513162	1	ENSG00000148450
DEG.up	Fallopian_Tube	485	0	1	1	
DEG.up	Heart_Atrial_Appendage	743	1	0.456494961992944	1	ENSG00000148450
DEG.up	Heart_Left_Ventricle	536	0	1	1	
DEG.up	Kidney_Cortex	1327	0	1	1	
DEG.up	Kidney_Medulla	95	0	1	1	
DEG.up	Liver	1525	1	0.718582198533724	1	ENSG00000185875
DEG.up	Lung	4195	6	0.114006420414388	1	ENSG00000077327:ENSG00000165309:ENSG00000179133:ENSG00000224215:ENSG00000165312:ENSG00000151023
DEG.up	Minor_Salivary_Gland	1891	0	1	1	
DEG.up	Muscle_Skeletal	1143	0	1	1	
