Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1900	0	1	1	
DEG.up	Adrenal_Gland	1540	1	0.722160344309163	1	ENSG00000185875
DEG.up	Bladder	842	0	1	1	
DEG.up	Blood	2250	0	1	1	
DEG.up	Blood_Vessel	2696	1	0.898440908923796	1	ENSG00000168283
DEG.up	Brain	3208	1	0.935824841875963	1	ENSG00000151023
DEG.up	Breast	1964	0	1	1	
DEG.up	Cervix_Uteri	3005	0	1	1	
DEG.up	Colon	1574	0	1	1	
DEG.up	Esophagus	1255	0	1	1	
DEG.up	Fallopian_Tube	485	0	1	1	
DEG.up	Heart	613	1	0.394655468334888	1	ENSG00000148450
DEG.up	Kidney	1348	0	1	1	
DEG.up	Liver	1525	1	0.718582198533724	1	ENSG00000185875
DEG.up	Lung	4195	6	0.114006420414388	1	ENSG00000077327:ENSG00000165309:ENSG00000179133:ENSG00000224215:ENSG00000165312:ENSG00000151023
DEG.up	Muscle	1143	0	1	1	
DEG.up	Nerve	5869	3	0.880238154708265	1	ENSG00000168283:ENSG00000224215:ENSG00000165312
DEG.up	Ovary	5674	1	0.993800785534177	1	ENSG00000185875
DEG.up	Pancreas	745	1	0.457397224592075	1	ENSG00000168267
DEG.up	Pituitary	5156	5	0.408750822239026	1	ENSG00000077327:ENSG00000179133:ENSG00000224215:ENSG00000151023:ENSG00000185875
DEG.up	Prostate	3306	0	1	1	
DEG.up	Salivary_Gland	1891	0	1	1	
DEG.up	Skin	3125	1	0.930827516110204	1	ENSG00000165312
DEG.up	Small_Intestine	2738	0	1	1	
DEG.up	Spleen	4240	0	1	1	
DEG.up	Stomach	1102	0	1	1	
DEG.up	Testis	12326	7	0.92587934468581	1	ENSG00000272366:ENSG00000077327:ENSG00000165309:ENSG00000168267:ENSG00000179133:ENSG00000151023:ENSG00000185875
DEG.up	Thyroid	5687	1	0.993880355718638	1	ENSG00000185875
DEG.up	Uterus	5544	1	0.992948482166118	1	ENSG00000148450
DEG.up	Vagina	2840	0	1	1	
DEG.down	Adipose_Tissue	1587	0	1	1	
DEG.down	Adrenal_Gland	3472	0	1	1	
DEG.down	Bladder	104	0	1	1	
DEG.down	Blood	6184	5	0.581611280720811	1	ENSG00000148444:ENSG00000168283:ENSG00000148450:ENSG00000165312:ENSG00000185875
DEG.down	Blood_Vessel	1708	0	1	1	
DEG.down	Brain	5503	1	0.992657102428218	1	ENSG00000165312
DEG.down	Breast	1001	0	1	1	
DEG.down	Cervix_Uteri	47	0	1	1	
DEG.down	Colon	1378	0	1	1	
DEG.down	Esophagus	1671	1	0.751607256981222	1	ENSG00000185875
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	9347	2	0.998574233158581	1	ENSG00000168283:ENSG00000185875
DEG.down	Kidney	5412	2	0.949210199288347	1	ENSG00000148444:ENSG00000168283
DEG.down	Liver	7985	3	0.974122567393062	1	ENSG00000148444:ENSG00000168283:ENSG00000165312
DEG.down	Lung	905	0	1	1	
DEG.down	Muscle	6836	0	1	1	
DEG.down	Nerve	905	0	1	1	
DEG.down	Ovary	1521	0	1	1	
DEG.down	Pancreas	9586	3	0.993340856102715	1	ENSG00000168283:ENSG00000148450:ENSG00000165312
DEG.down	Pituitary	1927	0	1	1	
DEG.down	Prostate	742	0	1	1	
DEG.down	Salivary_Gland	1861	2	0.450210716518205	1	ENSG00000148450:ENSG00000165312
