ensg	entrez	symbol
ENSG00000230019	NA	YWHAQP9
ENSG00000232989	NA	RP11-136B18.1
ENSG00000234464	NA	RP11-136B18.2
ENSG00000224783	NA	MIPEPP2
ENSG00000259776	NA	RP11-544D21.2
ENSG00000227185	NA	RP11-544D21.1
ENSG00000133019	1131	CHRM3
ENSG00000233355	NA	CHRM3-AS2
ENSG00000234601	100873984	CHRM3-AS1
ENSG00000231979	NA	RP11-35L17.3
ENSG00000223694	NA	ADH5P3
ENSG00000233735	NA	RP11-567G24.3
ENSG00000252317	NA	Y_RNA
ENSG00000228844	NA	RP11-467I20.3
ENSG00000251750	NA	RNU5F-8P
ENSG00000234872	NA	RP11-467I20.5
ENSG00000199241	NA	Y_RNA
ENSG00000230015	100506929	RP11-80B9.4
ENSG00000182901	6000	RGS7
ENSG00000215802	NA	RFKP1
ENSG00000233615	NA	HNRNPA1P42
ENSG00000238085	NA	RP11-435F13.2
ENSG00000265831	100422856	MIR3123
ENSG00000224348	NA	RP11-306K13.1
ENSG00000225554	NA	RP11-527D7.1
ENSG00000091483	2271	FH
ENSG00000117009	8564	KMO
ENSG00000054277	23596	OPN3
ENSG00000203668	1122	CHML
ENSG00000229022	NA	RP11-553N16.1
ENSG00000174371	9156	EXO1
ENSG00000180287	200150	PLD5
ENSG00000224525	NA	RP11-561I11.3
ENSG00000235467	NA	RP11-513D4.2
ENSG00000213690	NA	RP11-513D4.1
ENSG00000270859	NA	RP11-435I3.1
ENSG00000235655	440926	H3F3AP4
ENSG00000128656	1123	CHN1
ENSG00000154518	518	ATP5G3
ENSG00000229066	NA	AC096649.3
ENSG00000221347	NA	AC096649.4
ENSG00000223976	NA	EXTL2P1
ENSG00000144320	80856	KIAA1715
ENSG00000174279	344191	EVX2
ENSG00000128714	3239	HOXD13
ENSG00000230384	NA	AC016739.1
ENSG00000237260	NA	AC073069.2
ENSG00000229434	NA	AC017048.1
ENSG00000236231	NA	AC017048.2
ENSG00000272551	NA	RP11-324L17.1
ENSG00000163364	375295	LINC01116
ENSG00000224577	NA	LINC01117
ENSG00000252027	NA	RNU6ATAC14P
ENSG00000230552	101930299	AC092162.1
ENSG00000237053	NA	FUCA1P1
ENSG00000223777	NA	AC092162.2
ENSG00000227098	NA	AC073636.1
ENSG00000236501	NA	AC079305.11
ENSG00000251746	NA	RNA5SP112
ENSG00000128655	50940	PDE11A
ENSG00000229941	NA	AC012499.1
ENSG00000249909	NA	CYCTP
ENSG00000227241	NA	AC011998.4
ENSG00000155636	129831	RBM45
ENSG00000223096	NA	RNU5E-9P
ENSG00000079156	114880	OSBPL6
ENSG00000260931	NA	RP11-65L3.1
ENSG00000223960	101927027	AC009948.5
ENSG00000180228	8575	PRKRA
ENSG00000204311	494513	DFNB59
ENSG00000238082	NA	AC009948.7
ENSG00000270956	NA	RP11-65L3.4
ENSG00000270277	NA	RP11-65L3.2
ENSG00000271011	NA	RP11-171I2.5
ENSG00000270574	NA	RP11-171I2.2
ENSG00000271141	NA	RP11-171I2.4
ENSG00000271401	NA	RP11-171I2.3
ENSG00000234841	NA	RP11-119H12.4
ENSG00000249373	NA	RP11-650J17.2
ENSG00000196656	441502	AC004057.1
ENSG00000239279	NA	RN7SL184P
ENSG00000206820	NA	RNU1-138P
ENSG00000145349	817	CAMK2D
ENSG00000180801	79642	ARSJ
ENSG00000248716	NA	RP11-362M19.1
ENSG00000250215	NA	CIR1P2
ENSG00000216859	NA	RP11-448N11.1
ENSG00000188107	346007	EYS
ENSG00000219653	NA	GCNT1P4
ENSG00000243828	NA	RP11-307F22.2
ENSG00000221312	NA	AL109922.1
ENSG00000256352	NA	AL109922.2
ENSG00000265187	NA	AL109612.1
ENSG00000233859	NA	ADH5P4
ENSG00000221281	NA	AC002485.1
ENSG00000201015	NA	RNU6-280P
ENSG00000206672	NA	Y_RNA
ENSG00000270509	NA	RP11-301G19.2
ENSG00000223504	NA	RP11-542F9.1
ENSG00000226497	101928280	RP11-406O16.1
ENSG00000266675	NA	AL606923.1
ENSG00000233941	NA	RP11-404H14.1
ENSG00000202386	NA	RNA5SP211
ENSG00000200314	NA	Y_RNA
ENSG00000112297	202	AIM1
ENSG00000252125	NA	RNU6-1299P
ENSG00000164494	57107	PDSS2
ENSG00000214985	NA	AL591516.5
ENSG00000203384	NA	AL591516.3
ENSG00000203285	NA	AL591516.2
ENSG00000220237	NA	RPS24P12
ENSG00000203284	NA	AL591516.1
ENSG00000213167	NA	AL591516.4
ENSG00000203281	NA	AL590489.1
ENSG00000025796	11231	SEC63
ENSG00000238420	NA	RNU6-437P
ENSG00000232778	NA	RPL23AP50
ENSG00000272476	NA	RP1-191J18.66
ENSG00000224987	NA	RP1-191J18.65
ENSG00000253090	NA	SNORA73
ENSG00000231112	NA	MTHFD2P3
ENSG00000238490	NA	Y_RNA
ENSG00000271608	NA	RP11-697G4.4
ENSG00000228976	NA	SUMO2P8
ENSG00000231559	NA	RP3-354J5.3
ENSG00000118690	84071	ARMC2
ENSG00000218872	NA	RP11-249L21.2
ENSG00000228834	NA	RP11-249L21.4
ENSG00000230290	NA	ARMC2-AS1
ENSG00000080546	27244	SESN1
ENSG00000271730	NA	RP11-787I22.3
ENSG00000183137	285753	CEP57L1
ENSG00000185250	285755	PPIL6
ENSG00000135587	6610	SMPD2
ENSG00000135596	64780	MICAL1
ENSG00000156011	23362	PSD3
ENSG00000201157	NA	SNORA62
ENSG00000253335	NA	RP11-420B22.1
ENSG00000270255	NA	RP11-420B22.2
ENSG00000254242	NA	RP11-1080G15.2
ENSG00000104611	63898	SH2D4A
ENSG00000147408	55790	CSGALNACT1
ENSG00000253270	NA	RP11-1105O14.1
ENSG00000104613	55174	INTS10
ENSG00000175445	4023	LPL
ENSG00000242709	NA	RPL30P9
ENSG00000061337	11178	LZTS1
ENSG00000147443	9046	DOK2
ENSG00000130227	23039	XPO7
ENSG00000240291	NA	RP11-499P20.2
ENSG00000225527	NA	RP11-383B4.4
ENSG00000241058	221078	NSUN6
ENSG00000271786	NA	RP11-139J15.7
ENSG00000152487	NA	ARL5B-AS1
ENSG00000165997	221079	ARL5B
ENSG00000225509	NA	AIFM1P1
ENSG00000234244	NA	RP11-139J15.5
ENSG00000234813	NA	RP11-288D15.1
ENSG00000204740	NA	MALRD1
ENSG00000227734	NA	RP11-49L2.1
ENSG00000239539	NA	HMGN1P20
ENSG00000236960	NA	RP11-265G8.3
ENSG00000200545	NA	U3
ENSG00000252001	NA	RNA5SP303
ENSG00000233968	101928834	RP11-354E11.2
ENSG00000230818	NA	MTND2P16
ENSG00000212072	NA	AL353147.1
ENSG00000252832	NA	RNU6-1212P
ENSG00000120594	84898	PLXDC2
ENSG00000238246	NA	RP11-575A19.2
ENSG00000228339	NA	AMD1P1
ENSG00000265372	100616383	MIR4675
ENSG00000235940	NA	MTND1P21
ENSG00000230112	NA	RP11-56H7.2
ENSG00000148444	23412	COMMD3
ENSG00000269897	100532731	COMMD3-BMI1
ENSG00000168283	648	BMI1
ENSG00000272516	NA	RP11-573G6.9
ENSG00000271981	NA	RP11-573G6.8
ENSG00000272366	NA	RP11-573G6.10
ENSG00000077327	9576	SPAG6
ENSG00000221221	NA	AL139815.1
ENSG00000148450	22921	MSRB2
ENSG00000264574	100616217	MIR1254-2
ENSG00000238515	NA	snoU13
ENSG00000261489	NA	CTD-2515H24.3
ENSG00000261265	NA	CTD-2515H24.4
ENSG00000240874	NA	CTD-2515H24.1
ENSG00000137878	100820829	GCOM1
ENSG00000263155	100820829	MYZAP
ENSG00000255529	145781	POLR2M
ENSG00000261219	NA	RP11-344A16.2
ENSG00000128918	101928635	ALDH1A2
ENSG00000103569	366	AQP9
ENSG00000259651	NA	CTD-2330J20.1
ENSG00000259626	NA	RP11-925D8.2
ENSG00000259600	NA	RP11-925D8.3
ENSG00000259379	NA	RP11-925D8.5
ENSG00000259671	NA	RP11-925D8.6
ENSG00000240934	NA	RP11-925D8.1
ENSG00000166035	3990	LIPC
ENSG00000259293	101928694	RP11-355N15.1
ENSG00000259476	101928668	RP11-50C13.2
ENSG00000259250	NA	RP11-50C13.1
ENSG00000137845	102	ADAM10
ENSG00000239100	NA	snoU13
ENSG00000259173	NA	RP11-30K9.7
ENSG00000200318	NA	U3
ENSG00000245975	101928725	RP11-30K9.6
ENSG00000128923	54629	FAM63B
ENSG00000259353	NA	RP11-30K9.5
ENSG00000259738	NA	ZNF444P1
ENSG00000157450	54778	RNF111
ENSG00000242747	NA	RP11-30K9.1
ENSG00000137776	79811	SLTM
ENSG00000225798	NA	AC025918.2
ENSG00000259393	NA	RP11-313H3.1
ENSG00000241640	NA	RP11-59H7.1
ENSG00000157456	9133	CCNB2
ENSG00000259732	NA	RP11-59H7.3
ENSG00000157483	4643	MYO1E
ENSG00000268327	NA	C15ORF31
ENSG00000221096	NA	AC092757.1
ENSG00000253030	100313886	MIR2116
ENSG00000171989	92483	LDHAL6B
ENSG00000200070	NA	RNU4-80P
ENSG00000215983	NA	AC092756.1
ENSG00000259771	NA	RP11-429D19.1
ENSG00000199512	NA	RNU6-212P
ENSG00000259735	NA	RP11-356M20.3
ENSG00000157470	145773	FAM81A
ENSG00000238767	NA	snoU13
ENSG00000259750	NA	RP11-356M20.2
ENSG00000259674	NA	RP11-356M20.1
ENSG00000200252	NA	Y_RNA
ENSG00000243780	NA	RP11-112N19.1
ENSG00000240238	NA	RP11-112N19.2
ENSG00000201704	NA	RNA5SP396
ENSG00000200606	NA	Y_RNA
ENSG00000140297	9245	GCNT3
ENSG00000140307	2958	GTF2A2
ENSG00000182718	302	ANXA2
ENSG00000240163	NA	RP11-745A24.1
ENSG00000242667	NA	RP11-745A24.2
ENSG00000259482	100996876	RP11-219B17.2
ENSG00000264376	NA	RN7SL613P
ENSG00000259466	NA	NPM1P47
ENSG00000173482	5797	PTPRM
ENSG00000221631	NA	AP000897.1
ENSG00000266767	NA	RP11-678G15.2
ENSG00000264596	NA	RP11-678G15.1
ENSG00000263827	NA	AP005118.1
ENSG00000199856	NA	U3
ENSG00000261824	148189	LINC00662
ENSG00000267575	NA	CTC-459F4.3
ENSG00000272635	NA	LLNLF-65H9.1
ENSG00000267264	NA	CTC-459F4.6
ENSG00000267323	NA	SLC25A1P5
ENSG00000267389	NA	CTC-459F4.7
ENSG00000266977	NA	CTC-459F4.5
ENSG00000267623	NA	AC022153.1
ENSG00000267768	NA	CTC-459F4.8
ENSG00000267630	NA	AC005758.1
ENSG00000266906	NA	AC005357.1
ENSG00000266928	NA	CTB-70G10.1
ENSG00000267320	NA	AC005780.1
ENSG00000267238	NA	AC093074.1
ENSG00000260725	NA	AC005307.1
ENSG00000267243	NA	AC005307.3
ENSG00000266893	101927210	AC005616.1
ENSG00000267423	NA	AC005616.2
ENSG00000267537	NA	AC005394.1
ENSG00000266976	NA	AC079466.1
ENSG00000267799	NA	CTC-478M6.1
ENSG00000267617	NA	AC007795.1
ENSG00000267528	NA	AC011524.1
ENSG00000267683	NA	AC008991.1
ENSG00000238514	NA	snoU13
ENSG00000267027	NA	AC011524.2
ENSG00000267240	NA	AC011524.3
ENSG00000267339	148145	LINC00906
ENSG00000252272	NA	RNA5SP470
ENSG00000267014	100505835	CTD-2081K17.2
ENSG00000169021	7386	UQCRFS1
ENSG00000267498	NA	CTB-32O4.2
ENSG00000241604	NA	RN7SL340P
ENSG00000264515	284395	CTC-525D6.1
ENSG00000267574	NA	CTC-525D6.5
ENSG00000266248	NA	CTC-525D6.2
ENSG00000187135	342865	VSTM2B
ENSG00000105171	10775	POP4
ENSG00000267258	NA	CTC-448F2.3
ENSG00000105176	8725	URI1
ENSG00000242100	NA	RPL9P32
ENSG00000267006	NA	CTC-448F2.4
ENSG00000267692	NA	TAF9P3
ENSG00000266910	NA	CTC-448F2.6
ENSG00000267760	NA	CTC-565M22.1
ENSG00000261316	NA	CTC-400I9.1
