ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000230019	NA	YWHAQP9	YWHAQP9	NA	NA	NA
ENSG00000232989	NA	RP11-136B18.1	NA	NA	NA	NA
ENSG00000234464	NA	RP11-136B18.2	NA	NA	NA	NA
ENSG00000224783	NA	MIPEPP2	MIPEPP2	NA	NA	NA
ENSG00000259776	NA	RP11-544D21.2	NA	NA	NA	NA
ENSG00000227185	NA	RP11-544D21.1	NA	NA	NA	NA
ENSG00000133019	1131	CHRM3	CHRM3	118494	P20309	DB00185:DB00193:DB00202:DB00246:DB00280:DB00332:DB00334:DB00340:DB00342:DB00363:DB00376:DB00383:DB00387:DB00408:DB00411:DB00420:DB00424:DB00434:DB00458:DB00462:DB00477:DB00496:DB00505:DB00517:DB00540:DB00572:DB00599:DB00622:DB00715:DB00725:DB00747:DB00767:DB00777:DB00785:DB00809:DB00835:DB00934:DB00986:DB01019:DB01036:DB01062:DB01069:DB01085:DB01142:DB01151:DB01224:DB01226:DB01231:DB01238:DB01239:DB01337:DB01338:DB01403:DB01409:DB01591:DB01625:DB03128:DB04365:DB04843:DB05752:DB06153:DB06702:DB06709:DB06787:DB08897:DB09076:DB09089:DB09167:DB09262:DB09300:DB11181:DB11235:DB12278:DB13581:DB13720:DB14185
ENSG00000233355	NA	CHRM3-AS2	CHRM3-AS2	NA	NA	NA
ENSG00000234601	100873984	CHRM3-AS1	CHRM3-AS1	NA	NA	NA
ENSG00000231979	NA	RP11-35L17.3	NA	NA	NA	NA
ENSG00000223694	NA	ADH5P3	ADH5P3	NA	NA	NA
ENSG00000233735	NA	RP11-567G24.3	NA	NA	NA	NA
ENSG00000252317	NA	Y_RNA	NA	NA	NA	NA
ENSG00000228844	NA	RP11-467I20.3	NA	NA	NA	NA
ENSG00000251750	NA	RNU5F-8P	RNU5F-8P	NA	NA	NA
ENSG00000234872	NA	RP11-467I20.5	NA	NA	NA	NA
ENSG00000199241	NA	Y_RNA	NA	NA	NA	NA
ENSG00000230015	100506929	RP11-80B9.4	NA	NA	NA	NA
ENSG00000182901	6000	RGS7	RGS7	602517	P49802	NA
ENSG00000215802	NA	RFKP1	RFKP1	NA	NA	NA
ENSG00000233615	NA	HNRNPA1P42	HNRNPA1P42	NA	NA	NA
ENSG00000238085	NA	RP11-435F13.2	NA	NA	NA	NA
ENSG00000265831	100422856	MIR3123	MIR3123	NA	NA	NA
ENSG00000224348	NA	RP11-306K13.1	NA	NA	NA	NA
ENSG00000225554	NA	RP11-527D7.1	NA	NA	NA	NA
ENSG00000091483	2271	FH	FH	136850	P07954	NA
ENSG00000117009	8564	KMO	KMO	603538	O15229	NA
ENSG00000054277	23596	OPN3	OPN3	606695	Q9H1Y3	NA
ENSG00000203668	1122	CHML	CHML	118825	P26374	NA
ENSG00000229022	NA	RP11-553N16.1	NA	NA	NA	NA
ENSG00000174371	9156	EXO1	EXO1	606063	Q9UQ84	NA
ENSG00000180287	200150	PLD5	PLD5	NA	Q8N7P1	NA
ENSG00000224525	NA	RP11-561I11.3	NA	NA	NA	NA
ENSG00000235467	NA	RP11-513D4.2	NA	NA	NA	NA
ENSG00000213690	NA	RP11-513D4.1	NA	NA	NA	NA
ENSG00000270859	NA	RP11-435I3.1	NA	NA	NA	NA
ENSG00000235655	440926	H3F3AP4	H3F3AP4	NA	NA	NA
ENSG00000128656	1123	CHN1	CHN1	118423	P15882	NA
ENSG00000154518	518	ATP5G3	ATP5G3	602736	P48201	NA
ENSG00000229066	NA	AC096649.3	NA	NA	NA	NA
ENSG00000221347	NA	AC096649.4	NA	NA	NA	NA
ENSG00000223976	NA	EXTL2P1	EXTL2P1	NA	NA	NA
ENSG00000144320	80856	KIAA1715	KIAA1715	610236	Q9C0E8	NA
ENSG00000174279	344191	EVX2	EVX2	142991	Q03828	NA
ENSG00000128714	3239	HOXD13	HOXD13	142989	P35453	NA
ENSG00000230384	NA	AC016739.1	NA	NA	NA	NA
ENSG00000237260	NA	AC073069.2	NA	NA	NA	NA
ENSG00000229434	NA	AC017048.1	NA	NA	NA	NA
ENSG00000236231	NA	AC017048.2	NA	NA	NA	NA
ENSG00000272551	NA	RP11-324L17.1	NA	NA	NA	NA
ENSG00000163364	375295	LINC01116	LINC01116	NA	NA	NA
ENSG00000224577	NA	LINC01117	LINC01117	NA	NA	NA
ENSG00000252027	NA	RNU6ATAC14P	RNU6ATAC14P	NA	NA	NA
ENSG00000230552	101930299	AC092162.1	NA	NA	NA	NA
ENSG00000237053	NA	FUCA1P1	FUCA1P1	NA	NA	NA
ENSG00000223777	NA	AC092162.2	NA	NA	NA	NA
ENSG00000227098	NA	AC073636.1	NA	NA	NA	NA
ENSG00000236501	NA	AC079305.11	NA	NA	NA	NA
ENSG00000251746	NA	RNA5SP112	RNA5SP112	NA	NA	NA
