Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	2107	10	0.997994056684989	1	ENSG00000224525:ENSG00000163364:ENSG00000224577:ENSG00000147408:ENSG00000175445:ENSG00000147443:ENSG00000120594:ENSG00000263155:ENSG00000157483:ENSG00000173482
DEG.up	Adipose_Visceral_Omentum	1764	8	0.997074935483759	1	ENSG00000224525:ENSG00000175445:ENSG00000147443:ENSG00000165997:ENSG00000263155:ENSG00000128918:ENSG00000103569:ENSG00000173482
DEG.up	Adrenal_Gland	1540	7	0.995021429405031	1	ENSG00000163364:ENSG00000164494:ENSG00000156011:ENSG00000263155:ENSG00000259353:ENSG00000259738:ENSG00000267498
DEG.up	Artery_Aorta	2756	11	0.999936300461328	1	ENSG00000203668:ENSG00000180287:ENSG00000180801:ENSG00000120594:ENSG00000168283:ENSG00000148450:ENSG00000255529:ENSG00000128923:ENSG00000259732:ENSG00000157483:ENSG00000173482
DEG.up	Artery_Coronary	2038	12	0.985101906298085	1	ENSG00000203668:ENSG00000180801:ENSG00000118690:ENSG00000175445:ENSG00000147443:ENSG00000120594:ENSG00000168283:ENSG00000255529:ENSG00000128918:ENSG00000128923:ENSG00000259732:ENSG00000157483
DEG.up	Artery_Tibial	2711	13	0.999384075623182	1	ENSG00000203668:ENSG00000180287:ENSG00000128656:ENSG00000144320:ENSG00000145349:ENSG00000180801:ENSG00000025796:ENSG00000147408:ENSG00000120594:ENSG00000168283:ENSG00000255529:ENSG00000259732:ENSG00000157483
DEG.up	Bladder	842	2	0.998147320275933	1	ENSG00000147408:ENSG00000263155
DEG.up	Brain_Amygdala	1820	9	0.994873754736759	1	ENSG00000182901:ENSG00000225554:ENSG00000128656:ENSG00000156011:ENSG00000061337:ENSG00000157470:ENSG00000267014:ENSG00000264515:ENSG00000187135
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2370	13	0.995137690894028	1	ENSG00000133019:ENSG00000182901:ENSG00000225554:ENSG00000224525:ENSG00000128656:ENSG00000156011:ENSG00000061337:ENSG00000157470:ENSG00000267264:ENSG00000267623:ENSG00000267014:ENSG00000264515:ENSG00000187135
DEG.up	Brain_Caudate_basal_ganglia	2212	14	0.977679452902101	1	ENSG00000182901:ENSG00000225554:ENSG00000224525:ENSG00000128656:ENSG00000185250:ENSG00000156011:ENSG00000175445:ENSG00000061337:ENSG00000077327:ENSG00000157470:ENSG00000267014:ENSG00000264515:ENSG00000266248:ENSG00000187135
