ensg	symbol	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
ENSG00000232989	RP11-136B18.1	0.001144517	0	0	0	0.001721503	0.001475831	0	0.002758705	0	0.001043777	0	0.00234283	0.002734399	0	0	0	0.007528708	0	0	0	0	0.002196465	0	0	0	0	0	0	0.001073152	0	0	0	0.001460624	0	0	0	0.004160453	0	0	0.001268861	0	0	0	0	0.002563681	0.002875177	0	0	0	0.013310457	0	0	0	0
ENSG00000265831	MIR3123	0	0.001187732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201015	RNU6-280P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001761985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005283487	0	0	0	0
ENSG00000206672	Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001498514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003888114	0.001910138	0	0	0
ENSG00000270509	RP11-301G19.2	0.000753541	0.000283659	0.000279799	0.000601197	0.000306271	0.000345758	0	0	0.000385875	0.000536718	0.000627671	0.000172878	0.001507378	0	0.000563377	0	0.000325178	0.000876141	0.000404598	0	0.000777619	0.001339595	0.001990038	0.014083138	0.016053301	0	0.001953216	0	0.00012269	0.000112213	0	0.000564012	0.000144333	0.004478426	0	0.003063524	0.000110201	0	0.001352055	0.000256169	0.000744942	0.00089423	0.000182609	0	0.001515424	7.47E-05	0.000281787	0.000398027	0	0.073821647	0.00041159	0	0	0.000682556
ENSG00000202386	RNA5SP211	0	0.002285511	0.00191217	0	0	0	0.031451063	0	0.002138645	0	0	0.003942412	0	0	0	0	0	0	0	0	0.004326805	0	0.001820924	0	0	0	0	0	0.045224066	0	0	0.00097241	0	0.003948207	0	0	0	0.009703581	0.000474686	0.000901886	0	0.005100567	0.001843655	0	0.005136611	0.008427295	0.001636518	0	0	0.001986135	0	0	0.038585922	0.000895368
ENSG00000227734	RP11-49L2.1	0.000552536	0.001648424	0	0.000639073	0.003400287	0	0.010279283	0	0	0	0	0	0.000526563	0	0.00136565	0	0.000267563	0	0	0	0	0	0.001048495	0	0	0	0.000291134	0	0.001249349	0.000469593	0	0.000979813	0.000275642	0	0	0	0.003959113	0.00315353	0.000607466	0.001724027	0	0	0	0	0.001497927	0.001194538	0.036747907	0.000876604	0	0.560841828	0	0	0	0.000170572
ENSG00000265372	MIR4675	0.001053388	0.000872591	0	0.001390615	0	0	0	0	0.00277799	0	0	0.0021787	0	0	0	0.002111019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002034755	0	0	0	0	0	0	0	0.000624183	0	0	0	0	0	0.001257836	0	0	0	0.00147166	0	0	0	0
ENSG00000264574	MIR1254-2	0	0	0	0	0.002406407	0	0	0	0	0	0	0	0	0.003853469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001363196	0	0	0	0.0022176	0	0	0	0	0.002175097	0	0	0	0.001057512	0.003021456	0	0	0	0	0	0	0
ENSG00000252272	RNA5SP470	0.000683443	0.006886569	0	0.001268159	0	0	0	0	0.002929455	0.001191127	0.003456512	0.006035545	0.00124115	0.001998584	0	0.001791341	0.001433978	0.00311723	0.004942567	0.005242278	0.002527932	0	0	0.066167073	0	0	0	0	0	0	0.145321007	0	0.000923374	0.249197028	0.412304396	0.001623556	0	0	0.000505188	0.004392371	0	0.001353429	0	0.002476821	0.000367039	0.002062187	0	0	0.002219861	0.01338834	0.056150251	0.008759843	0.006821212	0
