Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1900	10	0.992704574128602	1	ENSG00000224525:ENSG00000163364:ENSG00000147408:ENSG00000175445:ENSG00000147443:ENSG00000165997:ENSG00000120594:ENSG00000263155:ENSG00000128918:ENSG00000173482
DEG.up	Adrenal_Gland	1540	7	0.995021429405031	1	ENSG00000163364:ENSG00000164494:ENSG00000156011:ENSG00000263155:ENSG00000259353:ENSG00000259738:ENSG00000267498
DEG.up	Bladder	842	2	0.998147320275933	1	ENSG00000147408:ENSG00000263155
DEG.up	Blood	2250	12	0.995486131447436	1	ENSG00000233355:ENSG00000117009:ENSG00000174371:ENSG00000235655:ENSG00000270956:ENSG00000270277:ENSG00000270574:ENSG00000112297:ENSG00000147443:ENSG00000103569:ENSG00000157456:ENSG00000259674
DEG.up	Blood_Vessel	2696	13	0.999322312470015	1	ENSG00000203668:ENSG00000180287:ENSG00000144320:ENSG00000145349:ENSG00000180801:ENSG00000025796:ENSG00000120594:ENSG00000168283:ENSG00000255529:ENSG00000128923:ENSG00000259732:ENSG00000157483:ENSG00000173482
DEG.up	Brain	3208	18	0.998287372465999	1	ENSG00000182901:ENSG00000225554:ENSG00000180287:ENSG00000224525:ENSG00000128656:ENSG00000079156:ENSG00000185250:ENSG00000156011:ENSG00000061337:ENSG00000259250:ENSG00000245975:ENSG00000157470:ENSG00000267264:ENSG00000267014:ENSG00000264515:ENSG00000266248:ENSG00000187135:ENSG00000266910
DEG.up	Breast	1964	6	0.999936956682854	1	ENSG00000224525:ENSG00000163364:ENSG00000224577:ENSG00000175445:ENSG00000263155:ENSG00000173482
DEG.up	Cervix_Uteri	3005	11	0.999989895051799	1	ENSG00000144320:ENSG00000128714:ENSG00000227098:ENSG00000236501:ENSG00000155636:ENSG00000223960:ENSG00000135587:ENSG00000156011:ENSG00000255529:ENSG00000128918:ENSG00000157483
DEG.up	Colon	1574	6	0.998668185926699	1	ENSG00000133019:ENSG00000128714:ENSG00000272551:ENSG00000163364:ENSG00000259674:ENSG00000140297
DEG.up	Esophagus	1255	5	0.995533342836905	1	ENSG00000133019:ENSG00000112297:ENSG00000104611:ENSG00000263155:ENSG00000140297
DEG.up	Fallopian_Tube	485	0	1	1	
DEG.up	Heart	613	6	0.576055000866164	1	ENSG00000253270:ENSG00000175445:ENSG00000148450:ENSG00000263155:ENSG00000128918:ENSG00000267683
DEG.up	Kidney	1348	6	0.993201752834642	1	ENSG00000233355:ENSG00000117009:ENSG00000163364:ENSG00000229941:ENSG00000128918:ENSG00000166035
DEG.up	Liver	1525	8	0.986373396191137	1	ENSG00000117009:ENSG00000128655:ENSG00000104611:ENSG00000240291:ENSG00000225527:ENSG00000241058:ENSG00000103569:ENSG00000166035
DEG.up	Lung	4195	20	0.99997845692083	1	ENSG00000117009:ENSG00000054277:ENSG00000224525:ENSG00000223960:ENSG00000270277:ENSG00000180801:ENSG00000118690:ENSG00000185250:ENSG00000104611:ENSG00000175445:ENSG00000061337:ENSG00000147443:ENSG00000165997:ENSG00000233968:ENSG00000120594:ENSG00000077327:ENSG00000263155:ENSG00000103569:ENSG00000259250:ENSG00000173482
DEG.up	Muscle	1143	6	0.973380357857564	1	ENSG00000128655:ENSG00000079156:ENSG00000145349:ENSG00000080546:ENSG00000175445:ENSG00000267423
DEG.up	Nerve	5869	23	0.999999997472125	1	ENSG00000203668:ENSG00000272551:ENSG00000155636:ENSG00000223960:ENSG00000025796:ENSG00000271730:ENSG00000183137:ENSG00000147408:ENSG00000104613:ENSG00000175445:ENSG00000061337:ENSG00000130227:ENSG00000241058:ENSG00000120594:ENSG00000238246:ENSG00000168283:ENSG00000166035:ENSG00000137845:ENSG00000128923:ENSG00000259732:ENSG00000157483:ENSG00000157470:ENSG00000267498
DEG.up	Ovary	5674	27	0.999999385416564	1	ENSG00000203668:ENSG00000272551:ENSG00000163364:ENSG00000223960:ENSG00000204311:ENSG00000238082:ENSG00000271401:ENSG00000196656:ENSG00000025796:ENSG00000080546:ENSG00000271730:ENSG00000185250:ENSG00000156011:ENSG00000104611:ENSG00000147408:ENSG00000130227:ENSG00000240291:ENSG00000225527:ENSG00000241058:ENSG00000165997:ENSG00000128918:ENSG00000259353:ENSG00000259738:ENSG00000242747:ENSG00000261824:ENSG00000105176:ENSG00000266910
DEG.up	Pancreas	745	2	0.995501480622378	1	ENSG00000133019:ENSG00000260725
DEG.up	Pituitary	5156	20	0.999999977707696	1	ENSG00000180287:ENSG00000128656:ENSG00000128655:ENSG00000155636:ENSG00000079156:ENSG00000223960:ENSG00000204311:ENSG00000238082:ENSG00000271141:ENSG00000271401:ENSG00000118690:ENSG00000185250:ENSG00000240291:ENSG00000225527:ENSG00000241058:ENSG00000077327:ENSG00000128918:ENSG00000245975:ENSG00000267692:ENSG00000266910
DEG.up	Prostate	3306	13	0.999989683503033	1	ENSG00000174279:ENSG00000128714:ENSG00000128655:ENSG00000180801:ENSG00000112297:ENSG00000135587:ENSG00000147408:ENSG00000253270:ENSG00000240291:ENSG00000241058:ENSG00000263155:ENSG00000128918:ENSG00000259250
DEG.up	Salivary_Gland	1891	6	0.999886208600537	1	ENSG00000133019:ENSG00000112297:ENSG00000135587:ENSG00000104611:ENSG00000140297:ENSG00000240163
