# MEAN_SAMPLE_SIZE = 54881
# TOTAL_GENES = 15763
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      21      0.11125    0.0040581       0.1818      0.27029 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      30    -0.075121   -0.0032742      0.16156      0.67902 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       6      0.44512    0.0086828      0.40194      0.13407 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      12     -0.34134   -0.0094146       0.2566      0.90826 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      15    -0.059066   -0.0018213      0.22374       0.6041 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      12     0.023957   0.00066078       0.2816       0.4661 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      31      0.12751    0.0056493       0.1627      0.21662 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      15      0.47224     0.014561      0.21722     0.014863 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      27      0.29613     0.012246      0.15387     0.027153 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      21     0.090987    0.0033189      0.19457      0.32003 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      19     -0.34688    -0.012036      0.19397      0.96312 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      23     -0.26015   -0.0099305      0.18623      0.91877 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      35      0.20256    0.0095344      0.15622     0.097397 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     427     0.033563    0.0054489      0.04233      0.21393 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     818    -0.031175   -0.0069153     0.030901      0.84348 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     140     0.065562    0.0061514     0.078959      0.20318 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     227      0.11344     0.013515     0.064264      0.03878 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      85     0.031981    0.0023422     0.088717      0.35925 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     113    -0.015349    -0.001295      0.08849      0.56885 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     226     0.065661    0.0078059      0.05641      0.12222 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     717    -0.049207    -0.010253     0.032392      0.93562 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     625      -0.0497   -0.0096985     0.038122      0.90382 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     280    -0.038958   -0.0051461     0.050125      0.78148 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     148     0.043986    0.0042422     0.071429      0.26902 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET      85     -0.16385       -0.012     0.096766      0.95479 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      72     -0.13436   -0.0090604     0.096905       0.9172 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      56     0.087473    0.0052046      0.12618      0.24408 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
