# MEAN_SAMPLE_SIZE = 27989
# TOTAL_GENES = 14648
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   14648     0.001284    0.0024828      0.01513      0.46619
Adrenal_Gland       COVAR   14648    -0.009529    -0.018093     0.011959       0.7872
Bladder             COVAR   14648     0.034252     0.065557     0.018392     0.031289
Blood               COVAR   14648    -0.012703    -0.022431    0.0070802       0.9636
Blood_Vessel        COVAR   14648     0.019845     0.039697     0.013226     0.066759
Brain               COVAR   14648   0.00011717   0.00019934    0.0079273       0.4941
Breast              COVAR   14648    0.0087351     0.016519      0.01792      0.31298
Cervix_Uteri        COVAR   14648     0.022855     0.044139     0.016412     0.081883
Colon               COVAR   14648     0.015921     0.029254     0.018001      0.18823
Esophagus           COVAR   14648      0.02728     0.050471     0.019465     0.080551
Fallopian_Tube      COVAR   14648     0.032665     0.062296     0.016003     0.020628
Heart               COVAR   14648    0.0058293    0.0098294     0.011133      0.30029
Kidney              COVAR   14648   -0.0086952    -0.014968     0.010679      0.79224
Liver               COVAR   14648    -0.019579     -0.03462    0.0074296      0.99579
Lung                COVAR   14648    0.0045493    0.0086365      0.01228      0.35553
Muscle              COVAR   14648   -0.0033634   -0.0062831     0.007952      0.66383
Nerve               COVAR   14648    0.0084681      0.01677     0.011825      0.23697
Ovary               COVAR   14648     0.012075     0.024133     0.011721      0.15147
Pancreas            COVAR   14648   -0.0025364   -0.0041459    0.0099909       0.6002
Pituitary           COVAR   14648   -0.0059749    -0.010892     0.009686      0.73133
Prostate            COVAR   14648    0.0010669    0.0019854     0.015892      0.47324
Salivary_Gland      COVAR   14648   -0.0042563   -0.0077674     0.012463      0.63364
Skin                COVAR   14648   -0.0090168    -0.016911     0.011536      0.78278
Small_Intestine     COVAR   14648    -0.003066   -0.0055299     0.012467      0.59713
Spleen              COVAR   14648    -0.010825    -0.021103    0.0089925      0.88565
Stomach             COVAR   14648     0.010855     0.019352     0.015689      0.24451
Testis              COVAR   14648    0.0041561    0.0070512    0.0064486      0.25963
Thyroid             COVAR   14648    0.0038819    0.0075614     0.012312      0.37628
Uterus              COVAR   14648     0.026623     0.053419     0.013707     0.026064
Vagina              COVAR   14648    0.0037651    0.0070766     0.014549       0.3979
