annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233243	0.00951031517906127	1	0.0161290322580645	1.69595139113534	0.447035798702244
UTR5	68533	0.00279438366924883	0	0	0	1
downstream	277044	0.0112962693777213	0	0	0	1
exonic	264904	0.0108012696295025	2	0.032258064516129	2.98650673695059	0.14471482376604
intergenic	11376644	0.463874457625636	31	0.5	1.07787784341323	0.611465122021124
intronic	8979212	0.366120896145261	21	0.338709677419355	0.925130690396238	0.694573204942158
ncRNA_exonic	257913	0.0105162166443461	4	0.0645161290322581	6.13491821385634	0.00420107188304848
ncRNA_intronic	2807030	0.114454624649316	0	0	0	0.000983573142361862
ncRNA_splicing	1258	5.12940431020827e-05	0	0	0	1
splicing	2832	0.000115472758398329	0	0	0	1
upstream	256652	0.0104648002784068	3	0.0483870967741935	4.62379553234629	0.0274292140281297
