ENSG	SYMBOL	ded	dep	ibs	p_ded	p_dep	p_ibs
ENSG00000097046	CDC7	1	1	0	0.0025645	0.034841	NA
ENSG00000117461	PIK3R3	1	1	0	0.002274	0.031355	NA
ENSG00000118689	FOXO3	1	1	0	0.0016725	0.032375	NA
ENSG00000145384	FABP2	1	1	0	0.026633	0.0020522	NA
ENSG00000156876	SASS6	1	1	0	0.013566	0.0051249	NA
ENSG00000183092	BEGAIN	1	1	0	0.0019636	0.026668	NA
ENSG00000196730	DAPK1	1	1	0	0.0011925	0.042279	NA
ENSG00000234127	TRIM26	1	1	0	0.00078141	0.038191	NA
ENSG00000102575	ACP5	1	0	1	0.03583	NA	4.16E-05
ENSG00000115947	ORC4	1	0	1	0.00052776	NA	0.045434
ENSG00000115977	AAK1	1	0	1	0.00050153	NA	0.018917
ENSG00000119969	HELLS	1	0	1	0.0011178	NA	0.014968
ENSG00000137177	KIF13A	1	0	1	0.028812	NA	0.004398
ENSG00000140379	BCL2A1	1	0	1	0.04475	NA	0.00054462
ENSG00000185551	NR2F2	1	0	1	0.042749	NA	0.0025676
ENSG00000204256	BRD2	1	0	1	0.00047789	NA	0.043695
ENSG00000029559	IBSP	0	1	1	NA	0.004862	0.01215
ENSG00000170312	CDK1	0	1	1	NA	0.0037358	0.0059051
