ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000219481	NBPF1	1	16888814	16940057	-1	protein_coding	284565	NBPF1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	GM12878	NA	rs12044984	1
ENSG00000271732	RP5-1182A14.5	1	16943886	16944224	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	GM12878	NA	rs12044984	1
ENSG00000265606	MIR4695	1	19209696	19209769	-1	miRNA	100616120	MIR4695	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	0.0001298	rs12044984	1
ENSG00000169991	IFFO2	1	19230775	19283180	-1	protein_coding	126917	IFFO2	0.382583916452741	1.242011687	0	0	8	4.0565e-11	0	eQTLGen_cis_eQTLs	NA	No	NA	NA	rs12044984	1
ENSG00000272084	RP5-1126H10.2	1	19398604	19402005	-1	3prime_overlapping_ncrna	NA	NA	NA	NA	0	0	3	2.08629e-05	8.93273e-08	GTEx/v8/Esophagus_Mucosa:GTEx/v8/Pituitary	NA	No	NA	NA	rs12044984	1
ENSG00000127481	UBR4	1	19401000	19536770	-1	protein_coding	23352	UBR4	1	-0.713818947	0	0	30	3.78018e-06	4.40565e-32	GTEx/v8/Esophagus_Muscularis:GTEx/v8/Nerve_Tibial:GTEx/v7/Adipose_Visceral_Omentum	NA	Yes	EP_correlation_cell_type_oneway:Adult_Cortex:Fetal_Cortex:Mesenchymal_Stem_Cell	0.001622	rs12044984	1
ENSG00000230424	RP1-43E13.2	1	19536995	19567198	1	antisense	101927895	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	EP_correlation_cell_type_oneway:Adult_Cortex:Fetal_Cortex:Mesenchymal_Stem_Cell	0.001622	rs12044984	1
ENSG00000127463	EMC1	1	19542158	19578046	-1	protein_coding	23065	EMC1	6.03747917977484e-14	-0.866589224	0	0	3	1.7065e-06	0.00505265721068972	eQTLGen_cis_eQTLs	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	0.001622	rs12044984	1
ENSG00000053372	MRTO4	1	19578033	19586622	1	protein_coding	51154	MRTO4	0.869977920352301	1.438239159	0	0	2	7.6498e-08	0.000296025697549915	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	0.001622	rs12044984	1
ENSG00000211454	AKR7L	1	19592476	19600688	-1	polymorphic_pseudogene	NA	AKR7L	0.00438244228415804	NA	0	0	33	2.03357e-06	1.41797e-25	GTEx/v8/Artery_Tibial:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v7/Artery_Tibial	+	No	NA	0.01638	rs12044984	1
ENSG00000162482	AKR7A3	1	19609052	19615744	-1	protein_coding	22977	AKR7A3	6.13891503863645e-10	-0.170329502	0	0	81	5.8441e-12	0	eQTLGen_cis_eQTLs:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic	-	No	NA	6.796e-06	rs12044984	1
ENSG00000270728	RP4-657E11.10	1	19623574	19624397	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	0.0001324	rs12044984	1
ENSG00000053371	AKR7A2	1	19630459	19638640	-1	protein_coding	8574	AKR7A2	3.55874178311221e-06	NA	0	0	123	1.3398e-24	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Skin_Sun_Exposed_Lower_leg	-	Yes	Promoter_anchored_loops	6.796e-06	rs12044984	1
ENSG00000200403	RNU6-1099P	1	19631570	19631676	-1	snRNA	NA	RNU6-1099P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	0.0001542	rs12044984	1
ENSG00000040487	PQLC2	1	19638820	19655794	1	protein_coding	54896	PQLC2	0.000146809008866195	NA	0	0	3	9.86622e-06	0.0165659570512225	eQTLcatalogue/BLUEPRINT_ge_monocyte:BIOSQTL/BIOS_eQTL_geneLevel	NA	Yes	Promoter_anchored_loops	0.0001542	rs12044984	1
ENSG00000265192	RN7SL85P	1	19646299	19646554	-1	misc_RNA	NA	RN7SL85P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	6.796e-06	rs12044984	1
ENSG00000077549	CAPZB	1	19665267	19812066	-1	protein_coding	832	CAPZB	0.592160351133202	NA	26	15.03	41	7.7596e-16	2.71885e-25	GTEx/v8/Testis:GTEx/v8/Thyroid:GTEx/v7/Thyroid:GTEx/v6/Thyroid	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:Spleen:IMR90:Mesenchymal_Stem_Cell	0.001622	rs12044984	1
ENSG00000240490	RN7SL277P	1	19750878	19751163	1	misc_RNA	NA	RN7SL277P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Bladder:Dorsolateral_Prefrontal_Cortex:Hippocampus:Left_Ventricle:Liver:Lung:Pancreas:Psoas:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	6.796e-06	rs12044984	1
ENSG00000201609	RNU4-28P	1	19837087	19837227	1	snRNA	NA	RNU4-28P	NA	NA	51	16.39	0	NA	NA	NA	NA	Yes	Left_Ventricle:Spleen:IMR90:Mesenchymal_Stem_Cell	4.387e-06	rs12044984	1
ENSG00000239027	snoU13	1	19858664	19858768	-1	snoRNA	NA	NA	NA	NA	62	15.08	0	NA	NA	NA	NA	Yes	EP_links_oneway	0.0001298	rs12044984	1
ENSG00000235185	RP5-1056L3.1	1	19918296	19923326	-1	antisense	NA	NA	NA	NA	14	11.2	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	6.796e-06	rs12044984	1
ENSG00000270136	MINOS1-NBL1	1	19923473	19984549	1	protein_coding	100532736	MINOS1-NBL1	0.0681079828537187	NA	55	14.52	175	3.19532e-121	0	BIOSQTL/BIOS_eQTL_geneLevel	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	6.796e-06	rs12044984	1
ENSG00000173436	MINOS1	1	19923477	19956314	1	protein_coding	440574	MINOS1	0.348880394858809	1.750047443	37	13.36	92	9.1443e-17	0	EyeGEx:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Colon_Sigmoid:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pancreas:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Thyroid:GTEx/v7/Whole_Blood:GTEx/v7/Artery_Tibial:GTEx/v7/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v7/Thyroid	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	6.796e-06	rs12044984	1
ENSG00000226396	RPS14P3	1	19934608	19935062	1	pseudogene	644068	RPS14P3	NA	NA	9	7.871	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	6.796e-06	rs12044984	1
