GENE	SYMBOL	CHR	START	STOP	Nsnps_ded	Nsnps_dep	P_ded	P_dep
ENSG00000086015	MAST2	1	46252659	46501796	238	238	0.0061273	0.020035
ENSG00000117461	PIK3R3	1	46505812	46642160	117	117	0.002274	0.031355
ENSG00000097046	CDC7	1	91966408	91991321	30	30	0.0025645	0.034841
ENSG00000156875	HIAT1	1	100503653	100548933	1	1	0.006391	0.003432
ENSG00000156876	SASS6	1	100549119	100598511	5	5	0.013566	0.0051249
ENSG00000122477	LRRC39	1	100614409	100643771	2	2	0.016619	0.013402
ENSG00000169231	THBS3	1	155165379	155178842	7	7	0.020086	0.049337
ENSG00000185842	DNAH14	1	225083964	225586996	866	861	0.020396	0.031112
ENSG00000180613	GSX2	4	54965690	54968672	4	4	0.00089931	0.014804
ENSG00000178636	RP11-455G16.1	4	120113928	120133799	35	35	0.026953	0.00021747
ENSG00000145390	USP53	4	120133742	120216672	130	130	0.035148	0.0017704
ENSG00000164096	C4orf3	4	120218207	120225600	9	9	0.029836	0.0030967
ENSG00000145384	FABP2	4	120238405	120243545	34	34	0.026633	0.0020522
ENSG00000138735	PDE5A	4	120415550	120550146	227	227	0.01847	0.0074432
ENSG00000164106	SCRG1	4	174305852	174327531	1	1	0.04014	0.02959
ENSG00000161021	MAML1	5	179159851	179223512	41	41	0.022751	0.038265
ENSG00000213316	LTC4S	5	179220981	179223648	2	2	0.01577	0.029142
ENSG00000234127	TRIM26	6	30152232	30181204	40	50	0.00078141	0.038191
ENSG00000118689	FOXO3	6	108881038	109005977	80	80	0.0016725	0.032375
ENSG00000189367	KIAA0408	6	127761488	127780536	11	11	0.027488	0.0080628
ENSG00000146540	C7orf50	7	1036622	1177896	104	104	0.019207	0.047733
ENSG00000164850	GPER1	7	1121844	1133451	5	5	0.048123	0.040784
ENSG00000147883	CDKN2B	9	22002902	22009362	1	1	0.007823	0.03301
ENSG00000196730	DAPK1	9	90112143	90323548	418	418	0.0011925	0.042279
ENSG00000165185	KIAA1958	9	115249127	115431677	208	208	0.037492	0.019557
ENSG00000258588	TRIM6-TRIM34	11	5617955	5665628	34	34	0.021729	0.034876
ENSG00000258659	TRIM34	11	5640994	5665628	9	9	0.0081799	0.018946
ENSG00000137675	MMP27	11	102562218	102576537	20	20	0.0477	0.012793
ENSG00000174527	MYO1H	12	109785708	109893328	148	148	0.021074	0.028986
ENSG00000100568	VTI1B	14	68113792	68141548	55	55	0.0091437	0.031202
ENSG00000258466	RP11-1012A1.4	14	68126537	68157084	49	49	0.013634	0.0085726
ENSG00000072042	RDH11	14	68143518	68162531	18	18	0.029059	0.0020961
ENSG00000072121	ZFYVE26	14	68194091	68283307	123	94	0.021339	0.018081
ENSG00000183092	BEGAIN	14	101003486	101053750	8	8	0.0019636	0.026668
ENSG00000065427	KARS	16	75661622	75682541	5	5	0.042669	0.022473
ENSG00000169660	HEXDC	17	80376194	80400521	9	9	0.042605	0.0051555
ENSG00000188000	OR7D2	19	9296279	9299493	1	1	0.007423	0.03207
ENSG00000183760	PAPL	19	39574553	39602133	20	20	0.02296	0.019052
ENSG00000142552	RCN3	19	50030875	50050219	19	19	0.041485	0.038885
ENSG00000180205	WFDC9	20	44236578	44259907	47	47	0.042453	0.043027
ENSG00000080189	SLC35C2	20	44978167	44993043	2	2	0.044697	0.032196
ENSG00000100422	CERK	22	47080308	47134158	2	2	0.025293	0.026044
ENSG00000218357	LL22NC03-75H12.2	22	47857048	47882860	25	25	0.014854	0.049198
