GENE	SYMBOL	CHR	START	STOP	Nsnps_ibs	Nsnps_ded	P_ibs	P_ded
ENSG00000142798	HSPG2	1	22148738	22263790	50	50	0.031685	0.027741
ENSG00000085832	EPS15	1	51819935	51985000	9	9	0.036456	0.010958
ENSG00000117114	LPHN2	1	81771845	82458120	713	713	0.048353	0.0059883
ENSG00000143156	NME7	1	169101769	169337205	488	488	0.034962	0.029163
ENSG00000117479	SLC19A2	1	169433147	169455241	18	18	0.046222	0.039189
ENSG00000115977	AAK1	2	69688532	69901481	324	324	0.018917	0.00050153
ENSG00000144227	NXPH2	2	139428342	139537918	79	79	0.034613	0.01766
ENSG00000121989	ACVR2A	2	148602086	148688393	69	69	0.037116	0.001058
ENSG00000115947	ORC4	2	148687968	148779147	93	93	0.045434	0.00052776
ENSG00000204406	MBD5	2	148778580	149275805	459	459	0.023623	0.0050775
ENSG00000186235	AC016757.3	2	239133193	239140318	19	19	0.005492	0.017122
ENSG00000144485	HES6	2	239146908	239149303	5	5	0.013684	0.037832
ENSG00000125046	SSUH2	3	8661086	8786726	21	21	0.0082359	0.040404
ENSG00000163527	STT3B	3	31574130	31679112	15	15	0.029885	0.01421
ENSG00000132405	TBC1D14	4	6910969	7034845	36	36	0.04209	0.023882
ENSG00000196355	AC021860.1	4	38628029	38666430	33	31	0.010352	0.0009169
ENSG00000145365	TIFA	4	113195698	113207059	29	29	0.025155	0.022528
ENSG00000145975	FAM217A	6	4049668	4087578	5	5	0.017575	0.00053583
ENSG00000181355	OFCC1	6	9596343	10211841	407	404	0.0033991	0.032793
ENSG00000137177	KIF13A	6	17759414	17987854	185	185	0.004398	0.028812
ENSG00000221988	PPT2	6	32121218	32134011	8	8	0.012011	0.013579
ENSG00000258388	PPT2-EGFL8	6	32121622	32139755	13	13	0.021088	0.011978
ENSG00000204305	AGER	6	32148745	32152101	7	7	0.023288	0.0071593
ENSG00000248993	XXbac-BPG181M17.5	6	32905141	32920899	15	15	0.035718	0.0054731
ENSG00000204256	BRD2	6	32936437	32949282	38	38	0.043695	0.00047789
ENSG00000204252	HLA-DOA	6	32971955	32977389	16	16	0.0093769	0.0040267
ENSG00000188107	EYS	6	64429876	66417118	2690	2690	4.258e-06	0.0026643
ENSG00000164849	GPR146	7	1084212	1098897	3	3	0.020217	0.029162
ENSG00000164850	GPER1	7	1121844	1133451	5	5	0.049526	0.048123
ENSG00000157927	RADIL	7	4836686	4923350	78	78	0.01729	0.044386
ENSG00000106346	USP42	7	6144515	6201195	2	2	0.041362	0.0040017
ENSG00000164535	DAGLB	7	6448757	6523821	78	78	0.045554	0.00761
ENSG00000146530	VWDE	7	12370511	12443567	153	153	0.023798	0.015185
ENSG00000169193	CCDC126	7	23636998	23684327	2	2	0.036888	0.0075433
ENSG00000106077	ABHD11	7	73150424	73153197	4	4	0.014192	0.015143
ENSG00000075223	SEMA3C	7	80371854	80551675	190	190	0.024757	0.029598
ENSG00000137563	GGH	8	63927638	63951730	73	73	0.041139	0.0077877
ENSG00000155875	FAM154A	9	18927656	19033251	111	111	0.012404	0.040912
