GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000131591	1	1017198	1051741	8	1	26717	0.29361	0.38453	C1orf159
ENSG00000162571	1	1109264	1133315	1	1	26493	0.27159	0.39297	TTLL10
ENSG00000078808	1	1152288	1167411	40	1	26691	0.66845	0.25192	SDF4
ENSG00000175756	1	1309110	1310875	1	1	26740	-1.2337	0.89134	AURKAIP1
ENSG00000221978	1	1321091	1334708	2	1	26753	-2.7604	0.99711	CCNL2
ENSG00000224870	1	1334902	1337426	3	1	26822	-1.5537	0.93987	RP4-758J18.2
ENSG00000160075	1	1477053	1510249	11	1	26229	0.312	0.37752	SSU72
ENSG00000008130	1	1682671	1711896	7	2	26723	-0.4724	0.68168	NADK
ENSG00000078369	1	1716729	1822495	41	5	26779	-0.21231	0.58407	GNB1
ENSG00000169885	1	1846266	1848735	1	1	26740	-0.084055	0.53349	CALML6
ENSG00000142609	1	1853396	1935276	13	2	26720	-0.1904	0.5755	C1orf222
ENSG00000187730	1	1950780	1962192	1	1	26724	0.54084	0.29431	GABRD
ENSG00000067606	1	1981909	2116834	173	17	26680	0.64164	0.26055	PRKCZ
ENSG00000162585	1	2115903	2144159	10	3	26559	-0.53772	0.70462	C1orf86
ENSG00000157933	1	2160134	2241558	4	2	26719	0.39399	0.3468	SKI
ENSG00000116151	1	2252692	2323146	3	2	26290	0.03138	0.48748	MORN1
ENSG00000157916	1	2323267	2336883	1	1	26830	-1.3146	0.90568	RER1
ENSG00000157873	1	2487078	2496821	1	1	26638	1.1121	0.13306	TNFRSF14
ENSG00000157870	1	2517930	2522908	3	1	26690	-1.5146	0.93507	FAM213B
ENSG00000142606	1	2522078	2564481	52	1	26767	-0.60311	0.72678	MMEL1
ENSG00000169717	1	2938046	2939465	1	1	26793	0.75758	0.22435	ACTRT2
ENSG00000142611	1	2985732	3355185	69	18	26627	0.56757	0.28516	PRDM16
ENSG00000130762	1	3370990	3397677	3	1	26758	0.50334	0.30736	ARHGEF16
ENSG00000162591	1	3406484	3528059	3	1	26606	-1.818	0.96547	MEGF6
ENSG00000158109	1	3541566	3546691	3	1	26608	0.10017	0.46011	TPRG1L
ENSG00000116213	1	3547331	3569325	5	1	26624	-0.04785	0.51908	WRAP73
ENSG00000078900	1	3569084	3652765	4	1	26503	-0.88571	0.81211	TP73
ENSG00000162592	1	3668962	3688209	2	1	26830	0.64138	0.26064	CCDC27
