GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000131591	1	1017198	1051741	8	1	28072	1.7695	0.038408	C1orf159
ENSG00000162571	1	1109264	1133315	1	1	27827	0.7069	0.23981	TTLL10
ENSG00000078808	1	1152288	1167411	40	1	28053	0.21335	0.41553	SDF4
ENSG00000175756	1	1309110	1310875	1	1	28092	0.48829	0.31267	AURKAIP1
ENSG00000221978	1	1321091	1334708	2	1	28102	0.19407	0.42306	CCNL2
ENSG00000224870	1	1334902	1337426	3	1	28180	0.39868	0.34506	RP4-758J18.2
ENSG00000160075	1	1477053	1510249	11	1	27599	-1.2966	0.90261	SSU72
ENSG00000008130	1	1682671	1711896	7	2	28082	0.1459	0.442	NADK
ENSG00000078369	1	1716729	1822495	41	5	28136	0.14158	0.44371	GNB1
ENSG00000169885	1	1846266	1848735	1	1	28092	0.10525	0.45809	CALML6
ENSG00000142609	1	1853396	1935276	13	2	28079	-1.0204	0.84622	C1orf222
ENSG00000187730	1	1950780	1962192	1	1	28076	-0.11956	0.54758	GABRD
ENSG00000067606	1	1981909	2116834	173	17	28031	-0.42237	0.66362	PRKCZ
ENSG00000162585	1	2115903	2144159	10	3	27906	-0.6024	0.72654	C1orf86
ENSG00000157933	1	2160134	2241558	4	2	28065	0.3014	0.38156	SKI
ENSG00000116151	1	2252692	2323146	3	2	27628	0.59353	0.27641	MORN1
ENSG00000157916	1	2323267	2336883	1	1	28188	-0.58485	0.72068	RER1
ENSG00000157873	1	2487078	2496821	1	1	27990	-0.30623	0.62028	TNFRSF14
ENSG00000157870	1	2517930	2522908	3	1	28036	-1.1824	0.88147	FAM213B
ENSG00000142606	1	2522078	2564481	52	1	28127	-0.8275	0.79602	MMEL1
ENSG00000169717	1	2938046	2939465	1	1	28143	-0.81808	0.79334	ACTRT2
ENSG00000142611	1	2985732	3355185	69	18	27978	0.66937	0.25163	PRDM16
ENSG00000130762	1	3370990	3397677	3	1	28110	0.038698	0.48457	ARHGEF16
ENSG00000162591	1	3406484	3528059	3	1	27946	-1.1385	0.87255	MEGF6
ENSG00000158109	1	3541566	3546691	3	1	27942	-1.6506	0.95059	TPRG1L
ENSG00000116213	1	3547331	3569325	5	1	27973	-1.7296	0.95815	WRAP73
ENSG00000078900	1	3569084	3652765	4	1	27846	-1.7572	0.96056	TP73
ENSG00000162592	1	3668962	3688209	2	1	28188	0.2546	0.39951	CCDC27
ENSG00000130764	1	3696784	3713068	21	1	28094	1.3494	0.088604	LRRC47
ENSG00000116198	1	3728645	3773778	99	6	28161	0.53685	0.29569	CEP104
ENSG00000169598	1	3773845	3801993	23	2	28112	0.55895	0.2881	DFFB
ENSG00000198912	1	3805689	3816857	8	2	28002	0.9722	0.16547	C1orf174
ENSG00000196581	1	4714792	4852594	169	24	27989	-0.99687	0.84059	AJAP1
ENSG00000131697	1	5922871	6052533	135	5	28151	0.15202	0.43958	NPHP4
ENSG00000069424	1	6051526	6161253	25	4	28058	-0.29328	0.61535	KCNAB2
ENSG00000116254	1	6161853	6240183	11	4	27929	0.27865	0.39026	CHD5
ENSG00000116251	1	6241329	6269449	7	2	27604	0.66263	0.25378	RPL22
ENSG00000158286	1	6265535	6281359	1	1	27993	2.364	0.0090398	RNF207
ENSG00000116237	1	6281253	6296032	1	1	28188	1.2237	0.11054	ICMT
ENSG00000097021	1	6324329	6454451	38	2	27979	-0.48765	0.6871	ACOT7
ENSG00000069812	1	6472478	6484730	1	1	28152	-0.65921	0.74512	HES2
ENSG00000171680	1	6526152	6580121	7	1	27872	-0.98548	0.83781	PLEKHG5
ENSG00000162408	1	6581407	6614595	2	1	27967	-0.98014	0.83649	NOL9
ENSG00000173662	1	6615241	6639817	7	2	27799	-0.057989	0.52312	TAS1R1
ENSG00000162413	1	6650784	6674667	17	2	27899	0.083681	0.46666	KLHL21
ENSG00000116273	1	6673745	6684093	11	2	28005	-0.31717	0.62444	PHF13
ENSG00000041988	1	6684926	6695646	15	2	27974	-0.21676	0.5858	THAP3
ENSG00000007923	1	6694228	6761984	34	2	28014	-0.78955	0.7851	DNAJC11
ENSG00000171735	1	6845384	7829766	566	66	28001	0.99623	0.15957	CAMTA1
ENSG00000049245	1	7831329	7841492	1	1	28188	1.6254	0.052034	VAMP3
ENSG00000049246	1	7844380	7905237	48	5	28080	-0.65706	0.74443	PER3
ENSG00000049247	1	7903143	7913572	4	2	27746	-1.4218	0.92246	UTS2
ENSG00000049249	1	7979907	8000926	20	2	27722	1.2175	0.11171	TNFRSF9
ENSG00000116288	1	8014351	8045565	18	3	28105	0.47276	0.31819	PARK7
ENSG00000116285	1	8064464	8086368	20	2	28096	0.79001	0.21476	ERRFI1
ENSG00000162426	1	8377886	8404227	18	2	27864	-1.0462	0.85228	SLC45A1
ENSG00000142599	1	8412457	8877702	195	8	28138	-0.20804	0.5824	RERE
ENSG00000074800	1	8921061	8939308	13	2	28047	0.081171	0.46765	ENO1
ENSG00000131686	1	9005926	9035151	7	3	27844	0.23093	0.40868	CA6
ENSG00000197241	1	9063359	9086404	12	5	28002	0.69472	0.24362	SLC2A7
ENSG00000142583	1	9095166	9148537	33	6	27963	-0.038142	0.51521	SLC2A5
ENSG00000180758	1	9160364	9189229	10	2	27822	0.73447	0.23133	GPR157
ENSG00000049239	1	9294834	9331396	22	3	28076	0.077839	0.46898	H6PD
ENSG00000171621	1	9352939	9429591	5	2	28079	2.1792	0.014658	SPSB1
ENSG00000171612	1	9599541	9645237	19	2	28105	-0.73889	0.77001	SLC25A33
ENSG00000171608	1	9711790	9789172	27	6	27907	-0.88571	0.81211	PIK3CD
ENSG00000179840	1	9712668	9714644	4	2	27975	-0.80459	0.78947	C1orf200
ENSG00000171603	1	9789084	9884584	31	2	28148	1.2722	0.10165	CLSTN1
ENSG00000178585	1	9908334	9970394	1	1	28182	-0.85905	0.80484	CTNNBIP1
ENSG00000162441	1	9982173	10003465	10	1	27955	-1.0272	0.84783	LZIC
ENSG00000173614	1	10003486	10045559	23	3	28090	-0.85447	0.80358	NMNAT1
ENSG00000162444	1	10057264	10076078	2	1	27694	-0.9444	0.82752	RBP7
ENSG00000130939	1	10092890	10241297	51	7	28050	-0.27966	0.61013	UBE4B
ENSG00000054523	1	10270863	10441661	164	6	28138	-0.58297	0.72004	KIF1B
ENSG00000142657	1	10458649	10480201	7	1	28136	-0.57305	0.71669	PGD
ENSG00000175279	1	10490159	10512210	22	3	28039	-0.058828	0.52346	APITD1
ENSG00000251503	1	10490159	10512210	22	3	28039	-0.058828	0.52346	APITD1-CORT
ENSG00000241563	1	10509776	10511959	1	1	28079	0.19046	0.42447	CORT
ENSG00000160049	1	10516579	10532583	11	3	28017	-0.11106	0.54421	DFFA
