ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000124019	FAM124B	2	225243415	225266802	-1	protein_coding	79843	FAM124B	2.29940234451662E-3	0.76195503099999995	6	7.548	193	2.6574E-14	0	eQTLcatalogue/HipSci_ge_iPSC:PsychENCODE_eQTLs:DICE/T_CD4_naive_TREG:eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellum:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Pancreas:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Stomach:GTEx/v8/Thyroid:GTEx/v7/Adipose_Subcutaneous:GTEx/v7/Adrenal_Gland:GTEx/v7/Artery_Tibial:GTEx/v7/Breast_Mammary_Tissue:GTEx/v7/Esophagus_Mucosa:GTEx/v7/Heart_Atrial_Appendage:GTEx/v7/Heart_Left_Ventricle:GTEx/v7/Lung:GTEx/v7/Pancreas:GTEx/v7/Spleen:GTEx/v7/Thyroid:GTEx/v6/Adrenal_Gland:GTEx/v6/Brain_Cerebellum:GTEx/v6/Esophagus_Mucosa:GTEx/v6/Heart_Left_Ventricle:GTEx/v6/Lung:GTEx/v6/Thyroid	-	Yes	Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.9629999999999998E-6	rs4624371	2	2	225243415	225266802	19	2	28024	1.9569	0.025179	FAM124B
ENSG00000036257	CUL3	2	225334867	225450110	-1	protein_coding	8452	CUL3	0.97406340543885095	6.2550932000000004E-2	170	22.4	189	1.2473E-51	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Muscle_Skeletal:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Thyroid:GTEx/v7/Muscle_Skeletal:GTEx/v6/Muscle_Skeletal	+	Yes	Adult_Cortex:Fetal_Cortex:Aorta:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.9629999999999998E-6	rs4624371	2	2	225334867	225450110	140	6	28084	3.9108	4.5989e-05	CUL3
ENSG00000135905	DOCK10	2	225629807	225907162	-1	protein_coding	55619	DOCK10	2.9192530095909601E-2	NA	0	0	176	1.1825000000000001E-12	0	eQTLGen_cis_eQTLs	-	Yes	GM12878:IMR90:Mesendoderm:hESC	7.9629999999999998E-6	rs4624371	2	2	225629807	225907162	153	16	28090	3.3559	0.00039555	DOCK10
ENSG00000144460	NYAP2	2	226265364	226518734	1	protein_coding	57624	NYAP2	0.90619625813231497	0.188825347	0	0	0	NA	NA	NA	NA	Yes	IMR90	NA	rs4624371	2	2	226265364	226518734	268	16	27962	1.7931	0.03648	NYAP2
ENSG00000174899	C3orf55	3	157261035	157395538	1	protein_coding	152078	C3orf55	3.92312788649E-2	0.142924938	0	0	6	1.95508E-6	1.1531100000000001E-6	eQTLcatalogue/TwinsUK_ge_fat:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	Yes	Mesendoderm:hESC	6.1550000000000004E-6	rs1872982	4	3	157261035	157395538	231	18	27894	2.6375	0.0041765	C3orf55
ENSG00000196782	MAML3	4	140637907	141075338	-1	protein_coding	55534	MAML3	0.32989504838314998	-0.19246513700000001	189	19.95	170	1.1135E-40	0	eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Testis:GTEx/v7/Testis	+	Yes	Adult_Cortex:Fetal_Cortex:Left_Ventricle:IMR90	9.906000000000001E-7	rs4863709;rs17314832;rs17314832:rs4863709:rs17314832	5	4	140637907	141075338	230	21	27867	4.2982	8.6105e-06	MAML3
ENSG00000146414	SHPRH	6	146185381	146285559	-1	protein_coding	257218	SHPRH	0.49130821582023199	-0.61355300199999996	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm:hESC	1.895E-5	rs2187437	7	6	146185381	146285559	194	9	28137	2.2628	0.011824	SHPRH
ENSG00000111961	SASH1	6	148593440	148873186	1	protein_coding	23328	SASH1	3.2544446146751901E-3	-1.8398940930000001	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.8650000000000001E-6	rs2187437	7	6	148593440	148873186	237	44	27878	2.0058	0.02244	SASH1
ENSG00000164707	SLC13A4	7	135365985	135414006	-1	protein_coding	26266	SLC13A4	0.915550850591339	0.123870589	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.1520000000000002E-6	rs147090214	8	7	135365985	135414006	73	10	27868	1.8372	0.033092	SLC13A4
ENSG00000105887	MTPN	7	135611509	135662101	-1	protein_coding	767558	MTPN	0.75465416690348897	-0.94298501400000001	25	16.32	31	1.8527800000000001E-8	1.11587E-5	eQTLcatalogue/GENCORD_ge_LCL:eQTLcatalogue/TwinsUK_ge_LCL:eQTLGen_cis_eQTLs:GTEx/v8/Cells_EBV-transformed_lymphocytes	-	Yes	Promoter_anchored_loops:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.1520000000000002E-6	rs147090214	8	7	135611509	135662101	44	6	28149	4.1341	1.7815e-05	MTPN
ENSG00000236338	AC015987.2	7	135611542	135613214	1	protein_coding	NA	NA	NA	NA	8	9.001	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	4.1520000000000002E-6	rs147090214	8	7	135611542	135613214	1	1	28149	4.1905	1.392e-05	AC015987.2
ENSG00000009335	UBE3C	7	156931607	157062066	1	protein_coding	9690	UBE3C	0.99999927321742199	-0.29221260199999999	0	0	75	2.007E-8	1.08515255968339E-4	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	-	Yes	Adult_Cortex:Fetal_Cortex	4.6600000000000003E-6	rs9692250	9	7	156931607	157062066	211	8	28134	1.8749	0.030402	UBE3C
