GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs12044984	1	19827780	rs6683419	2014-11-19	24852370	Zhan M	2014-05-22	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24852370	Genome-wide association study identifies a novel susceptibility gene for serum TSH levels in Chinese populations.	Serum thyroid-stimulating hormone levels	1,346 Han Chinese ancestry individuals	3,235 She Chinese ancestry individuals	1p36.13	MINOS1, NBL1, CAPZB	MICOS10			ENSG00000173436	NA	NA	rs6683419-G	rs6683419	0	6683419	intron_variant	0	0.265	3E-7	6.52287874528034		0.027	[NR] unit increase	Illumina [8503852] (imputed)	N
1	rs12044984	1	19839115	rs12138950	2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Hypothyroidism	17,558 European ancestry cases, 117,083 European ancestry controls	NA	1p36.13	CAPZB, MINOS1	MICOS10			ENSG00000173436	NA	NA	rs12138950-?	rs12138950	0	12138950	intron_variant	0	NR	8E-9	8.09691001300806		1.1074197	[1.07-1.15]	Illumina [13676411] (imputed)	N
1	rs12044984	1	19839115	rs12138950	2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Hyperthyroidism	1,840 European ancestry cases, 49,983 European ancestry controls	NA	1p36.13	CAPZB	MICOS10			ENSG00000173436	NA	NA	rs12138950-A	rs12138950	0	12138950	intron_variant	0	0.85	6E-10	9.22184874961636		0.258	[0.18-0.34] unit decrease	Affymetrix, Illumina [5965951] (imputed)	N
1	rs12044984	1	19839115	rs12138950	2011-06-01	21565293	Teumer A	2011-05-13	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/21565293	Genome-wide association study identifies four genetic loci associated with thyroid volume and goiter risk.	Thyroid volume	3,620 European ancestry individuals	1,290 European ancestry individuals	1p36.13	CAPZB	MICOS10			ENSG00000173436	NA	NA	rs12138950-A	rs12138950	0	12138950	intron_variant	0	0.847	3E-18	17.5228787452803	(thyroid volume)	0.102	[0.08-0.12] unit decrease	Affymetrix [2748910] (imputed)	N
1	rs12044984	1	19839115	rs12138950	2020-10-08	32769997	Zhou W	2020-08-07	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32769997	GWAS of thyroid stimulating hormone highlights pleiotropic effects and inverse association with thyroid cancer.	Thyroid stimulating hormone levels	119,715 European ancestry individuals	NA	1p36.13	CAPZB, LOC105378614	MICOS10			ENSG00000173436	NA	NA	rs12138950-C	rs12138950	0	12138950	intron_variant	0	0.15368526875987	2E-72	71.698970004336		0.1159	[0.1-0.13] SD decrease	Illumina [22400000] (imputed)	N
1	rs12044984	1	19843354	rs10917468	2011-06-01	21565293	Teumer A	2011-05-13	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/21565293	Genome-wide association study identifies four genetic loci associated with thyroid volume and goiter risk.	Thyroid volume	3,620 European ancestry individuals	1,290 European ancestry individuals	1p36.13	CAPZB	MICOS10			ENSG00000173436	NA	NA	rs10917468-C	rs10917468	0	10917468	intron_variant	0	0.217	1E-14	14	(goiter)	1.52	[1.37-1.69]	Affymetrix [2748910] (imputed)	N
1	rs12044984	1	19861106	rs10917477	2019-01-28	30598549	Morris JA	2018-12-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30598549	An atlas of genetic influences on osteoporosis in humans and mice.	Heel bone mineral density	426,824 British ancestry individuals	NA	1p36.13	CAPZB	MICOS10			ENSG00000173436	NA	NA	rs10917477-A	rs10917477	0	10917477	intron_variant	0	0.520677	1E-17	17		0.0157776	[0.012-0.019] unit decrease	NR [13737936] (imputed)	N
1	rs12044984	1	19861106	rs10917477	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Heel bone mineral density	approximately 446,000 European ancestry individuals	NA	1p36.13		MICOS10			ENSG00000173436	NA	NA	rs10917477-?	rs10917477	0	10917477	intron_variant	0	NR	2E-14	13.698970004336		NA		NR [~ 8900000] (imputed)	N
1	rs12044984	1	19861106	rs10917477	2012-06-18	22494929	Rawal R	2012-04-16	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22494929	Meta-analysis of two genome-wide association studies identifies four genetic loci associated with thyroid function.	Thyroid function	3,736 European ancestry individuals	3,727 European ancestry individuals	1p36.13	CAPZB	MICOS10			ENSG00000173436	NA	NA	rs10917477-A	rs10917477	0	10917477	intron_variant	0	0.511	2E-8	7.69897000433602		0.058	[0.038-0.078] unit decrease	Affymetrix, Illumina [2524918] (imputed)	N
1	rs12044984	1	19861106	rs10917477	2018-10-18	30048462	Kim SK	2018-07-26	PLoS One	www.ncbi.nlm.nih.gov/pubmed/30048462	Identification of 613 new loci associated with heel bone mineral density and a polygenic risk score for bone mineral density, osteoporosis and fracture.	Heel bone mineral density	394,929 European ancestry individuals	NA	1p36.13		MICOS10			ENSG00000173436	NA	NA	rs10917477-?	rs10917477	0	10917477	intron_variant	0	NR	5E-12	11.301029995664		0.0138652	[0.0098-0.0179] unit decrease	Affymetrix [20259828] (imputed)	N
