ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000162482	AKR7A3	1	19609052	19615744	-1	protein_coding	22977	AKR7A3	6.13891503863645e-10	-0.170329502	0	0	9	1.913e-07	0.000630225882940222	eQTLGen_cis_eQTLs	-	No	NA	6.796e-06	rs12044984	1
ENSG00000053371	AKR7A2	1	19630459	19638640	-1	protein_coding	8574	AKR7A2	3.55874178311221e-06	NA	0	0	13	2.7227e-15	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	-	No	NA	6.796e-06	rs12044984	1
ENSG00000265192	RN7SL85P	1	19646299	19646554	-1	misc_RNA	NA	RN7SL85P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	6.796e-06	rs12044984	1
ENSG00000077549	CAPZB	1	19665267	19812066	-1	protein_coding	832	CAPZB	0.592160351133202	NA	1	0.888	0	NA	NA	NA	NA	No	NA	NA	rs12044984	1
ENSG00000240490	RN7SL277P	1	19750878	19751163	1	misc_RNA	NA	RN7SL277P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Bladder:Left_Ventricle:Liver:Lung:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	6.796e-06	rs12044984	1
ENSG00000201609	RNU4-28P	1	19837087	19837227	1	snRNA	NA	RNU4-28P	NA	NA	5	5.765	0	NA	NA	NA	NA	No	NA	4.387e-06	rs12044984	1
ENSG00000239027	snoU13	1	19858664	19858768	-1	snoRNA	NA	NA	NA	NA	11	9.568	0	NA	NA	NA	NA	No	NA	0.0002809	rs12044984	1
ENSG00000235185	RP5-1056L3.1	1	19918296	19923326	-1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	6.796e-06	rs12044984	1
ENSG00000270136	MINOS1-NBL1	1	19923473	19984549	1	protein_coding	100532736	MINOS1-NBL1	0.0681079828537187	NA	0	0	13	4.41634e-61	0	BIOSQTL/BIOS_eQTL_geneLevel	+	Yes	IMR90:Mesenchymal_Stem_Cell	6.796e-06	rs12044984	1
ENSG00000173436	MINOS1	1	19923477	19956314	1	protein_coding	440574	MINOS1	0.348880394858809	1.750047443	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell	6.796e-06	rs12044984	1
