ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000254706	RP11-565P22.6	1	162335197	162351905	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	2.98565109291e-06	rs55974998	1
ENSG00000239887	C1orf226	1	162336698	162356600	1	protein_coding	400793	C1orf226	0.723357168775303	0.208624585	0	0	0	NA	NA	NA	NA	Yes	IMR90	2.98565109291e-06	rs55974998	1
ENSG00000171722	C1orf111	1	162342993	162346660	-1	protein_coding	284680	C1orf111	2.10439313677877e-05	-0.173984555	0	0	0	NA	NA	NA	NA	Yes	IMR90	2.98565109291e-06	rs55974998	1
ENSG00000143248	RGS5	1	163080911	163291577	-1	protein_coding	8490	RGS5	0.0404998864654464	-0.300639707	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000225755	RP11-267N12.2	1	163207004	163208987	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	2.98565109291e-06	rs55974998	1
ENSG00000232995	RP11-267N12.3	1	163214295	163291684	-1	antisense	8490	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000237756	RP11-77M5.1	1	163229640	163230449	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	2.98565109291e-06	rs55974998	1
ENSG00000143228	NUF2	1	163236366	163325554	1	protein_coding	83540	NUF2	6.55912662381588e-05	-0.908035596	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	2.98565109291e-06	rs55974998	1
ENSG00000225122	RP11-408E1.1	1	163392195	163392954	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000200327	RNA5SP62	1	163438286	163438395	-1	rRNA	NA	RNA5SP62	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000212527	RNA5SP63	1	163479274	163479385	1	rRNA	NA	RNA5SP63	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Liver:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell	2.98565109291e-06	rs55974998	1
ENSG00000228289	RP4-640E24.1	1	163738576	163738928	-1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Trophoblast-like_Cell	2.98565109291e-06	rs55974998	1
ENSG00000225719	NMNAT1P2	1	164312242	164313101	1	pseudogene	NA	NMNAT1P2	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	2.98565109291e-06	rs55974998	1
ENSG00000199849	RNU5F-6P	1	164320510	164320625	1	snRNA	NA	RNU5F-6P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000213070	HMGB3P6	1	164326004	164326601	1	pseudogene	NA	HMGB3P6	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000185630	PBX1	1	164524821	164868533	1	protein_coding	5087	PBX1	0.910582151189653	-1.129250962	0	0	0	NA	NA	NA	NA	Yes	hESC	2.98565109291e-06	rs55974998	1
ENSG00000271917	RP11-506O24.2	1	164797673	164799189	1	sense_intronic	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000201987	Y_RNA	1	164823468	164823569	1	misc_RNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	2.98565109291e-06	rs55974998	1
ENSG00000224702	RP11-38C18.2	1	165179864	165182327	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm:Neural_Progenitor_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000238022	RP11-38C18.3	1	165185217	165188341	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm:Neural_Progenitor_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000143171	RXRG	1	165370159	165414433	-1	protein_coding	6258	RXRG	0.937024401992312	0.697261647	0	0	5	2.04704e-05	7.06946e-07	CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Muscle_Skeletal	-	No	NA	2.98565109291e-06	rs55974998	1
ENSG00000237463	RP11-280O1.2	1	165446078	165551392	-1	antisense	400794	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Pancreas:Psoas:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000230748	RP11-541H12.1	1	165466961	165467585	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	2.98565109291e-06	rs55974998	1
ENSG00000162763	LRRC52	1	165513244	165533198	1	protein_coding	440699	LRRC52	0.00132907118787168	1.518525544	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000237783	RP11-306I1.1	1	165550850	165551713	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Pancreas:Psoas:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000236206	RP11-306I1.2	1	165567700	165592568	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000143198	MGST3	1	165600098	165631033	1	protein_coding	4259	MGST3	0.00715304129824559	1.000278177	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	2.98565109291e-06	rs55974998	1
ENSG00000143149	ALDH9A1	1	165631453	165668100	-1	protein_coding	223	ALDH9A1	1.29139214945887e-05	0.209136618	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000206990	Y_RNA	1	165631822	165631924	-1	misc_RNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	2.98565109291e-06	rs55974998	1
ENSG00000230175	RP11-466F5.3	1	165640493	165640962	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000225272	RP11-466F5.4	1	165645547	165646018	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
ENSG00000215838	RP11-466F5.6	1	165667987	165679205	1	pseudogene	440700	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesendoderm	2.98565109291e-06	rs55974998	1
