ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000228339	AMD1P1	10	20638978	20640029	1	pseudogene	NA	AMD1P1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000078114	NEBL	10	21068902	21463116	-1	protein_coding	10529	NEBL	5.76983793061894e-24	-0.148103405	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:hESC	NA	rs927751	1
ENSG00000235940	MTND1P21	10	21093222	21093506	1	pseudogene	NA	MTND1P21	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000230112	RP11-56H7.2	10	21130304	21130489	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000228753	EIF4BP2	10	21317928	21319721	1	pseudogene	NA	EIF4BP2	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	NA	rs927751	1
ENSG00000228219	NPM1P30	10	21399611	21402317	1	pseudogene	NA	NPM1P30	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:IMR90:Mesenchymal_Stem_Cell:hESC	1.52e-06	rs927751	1
ENSG00000204683	C10orf113	10	21414692	21435488	-1	protein_coding	387638	C10orf113	0.00753778234040987	-0.171514	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:hESC	NA	rs927751	1
ENSG00000231920	NEBL-AS1	10	21462943	21463977	1	antisense	100128511	NEBL-AS1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:hESC	NA	rs927751	1
ENSG00000228860	RP11-565H13.3	10	21506820	21507208	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	NA	rs927751	1
ENSG00000232853	LUZP4P1	10	21536681	21537024	1	pseudogene	NA	LUZP4P1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000207264	RNU6-15P	10	21610890	21610996	1	snRNA	100302741	RNU6-15P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000230109	RP11-275N1.1	10	21629162	21661879	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000231553	RNMTL1P1	10	21682962	21683521	1	pseudogene	NA	RNMTL1P1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000199222	Y_RNA	10	21770645	21770746	1	misc_RNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Neural_Progenitor_Cell:hESC	NA	rs927751	1
ENSG00000251749	U3	10	21774567	21774666	1	snoRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Neural_Progenitor_Cell:hESC	NA	rs927751	1
ENSG00000204682	CASC10	10	21781587	21786191	-1	protein_coding	399726	CASC10	0.02005486166772	-1.904040172	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Neural_Progenitor_Cell:hESC	NA	rs927751	1
ENSG00000222071	MIR1915	10	21785491	21785570	-1	miRNA	100302129	MIR1915	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Neural_Progenitor_Cell:hESC	NA	rs927751	1
ENSG00000180592	SKIDA1	10	21802407	21814611	-1	protein_coding	387640	SKIDA1	NA	-1.174748692	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000078403	MLLT10	10	21823094	22032559	1	protein_coding	8028	MLLT10	0.999583699307582	-0.518307189	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000207347	RNU6-306P	10	21853400	21853506	-1	snRNA	NA	RNU6-306P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:GM12878	NA	rs927751	1
ENSG00000223984	HNRNPRP1	10	21913521	21915215	-1	pseudogene	NA	HNRNPRP1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	GM12878:Mesenchymal_Stem_Cell	NA	rs927751	1
ENSG00000136770	DNAJC1	10	22045466	22292698	-1	protein_coding	64215	DNAJC1	1.42208526512983e-08	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Dorsolateral_Prefrontal_Cortex:Left_Ventricle:Liver:Right_Ventricle:Spleen:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000252634	RN7SKP219	10	22074221	22074516	1	misc_RNA	NA	RN7SKP219	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell	NA	rs927751	1
ENSG00000203471	AL359697.1	10	22183277	22183445	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000201364	RN7SKP37	10	22222072	22222367	1	misc_RNA	NA	RN7SKP37	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000232497	ADIPOR1P1	10	22451921	22454723	1	pseudogene	NA	ADIPOR1P1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000236777	RP11-108B14.1	10	22452021	22453235	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000223601	EBLN1	10	22497743	22498950	-1	protein_coding	340900	EBLN1	6.91019370514168e-05	-0.172630201	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000260205	RP11-108B14.5	10	22507003	22510097	1	lincRNA	NA	NA	NA	NA	0	0	8	0.0002831	0.0228306451612903	TIGER/Nom_Alonso_Pancreatic_islets	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000227462	RP11-108B14.4	10	22514627	22514953	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	NA	rs927751	1
ENSG00000261671	RP11-573G6.6	10	22546715	22547477	1	lincRNA	100130992	NA	NA	NA	0	0	4	1.213e-05	0.000978225806451613	TIGER/Nom_Alonso_Pancreatic_islets	NA	Yes	Aorta:Left_Ventricle:Liver:Right_Ventricle:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Neural_Progenitor_Cell:Trophoblast-like_Cell:hESC	NA	rs927751	1
