ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000228219	NPM1P30	10	21399611	21402317	1	pseudogene	NA	NPM1P30	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90	1.52e-06	rs927751	1
ENSG00000148444	COMMD3	10	22604903	22609235	1	protein_coding	23412	COMMD3	0.00742011460272826	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000269897	COMMD3-BMI1	10	22605317	22618471	1	protein_coding	100532731	COMMD3-BMI1	0.0225993476495416	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000168283	BMI1	10	22610140	22620413	1	protein_coding	648	BMI1	0.515144747396546	-0.143840631	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000272516	RP11-573G6.9	10	22621333	22621916	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000271981	RP11-573G6.8	10	22621516	22621910	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000272366	RP11-573G6.10	10	22629306	22629544	-1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000077327	SPAG6	10	22634399	22743153	1	protein_coding	9576	SPAG6	7.41292381390175e-06	-0.814068431	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:hESC	1.52e-06	rs927751	1
ENSG00000165309	ARMC3	10	23216953	23326518	1	protein_coding	219681	ARMC3	4.53373054750587e-08	-0.253773206	0	0	35	6.40663e-07	0.000130655	GTEx/v8/Pancreas	+	No	NA	1.52e-06	rs927751	1
ENSG00000148450	MSRB2	10	23384435	23410942	1	protein_coding	22921	MSRB2	0.00424761100040581	-0.322431289	0	0	56	3.3169e-12	0	eQTLGen_cis_eQTLs:GTEx/v8/Lung:GTEx/v8/Pancreas:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v7/Lung	-	No	NA	1.52e-06	rs927751	1
