GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
1	10:23480000-23490000	10:23610000-23620000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs12415184;rs1886763;rs7918487;rs10764393;rs1886764	NA	0
1	10:23580000-23590000	10:23440000-23450000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs4748852;rs7095180;rs4747459;rs7100583	NA	0
1	10:23580000-23590000	10:23450000-23460000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs4748852;rs7095180;rs4747459;rs7100583	ENSG00000252049	1
1	10:23610000-23620000	10:23480000-23490000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs7893984;rs7087803;rs11013395	ENSG00000168267	1
1	10:23580000-23590000	10:23960000-23970000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs4748852;rs7095180;rs4747459;rs7100583	NA	0
1	10:23610000-23620000	10:24550000-24560000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs7893984;rs7087803;rs11013395	NA	0
1	10:23480001-23520000	10:23840001-23880000	2.74314e-08	HiC	GSE87112	Left_Ventricle	intra	rs12415184;rs1886763;rs7918487;rs10764393;rs1886764;rs10718721;rs927751;rs4748846;rs1325589;rs7089550;rs10764396	NA	0
1	10:23520001-23560000	10:23840001-23880000	5.801397e-08	HiC	GSE87112	Left_Ventricle	intra	rs1555802;rs9665728;rs7068031;rs11013352;rs7904665;rs7904764;rs11336507	NA	0
1	10:23520001-23560000	10:23880001-23920000	6.688336e-10	HiC	GSE87112	Left_Ventricle	intra	rs1555802;rs9665728;rs7068031;rs11013352;rs7904665;rs7904764;rs11336507	NA	0
1	10:23600001-23640000	10:24720001-24760000	9.818903e-07	HiC	GSE87112	Left_Ventricle	intra	rs4326695;rs6415968;rs7893984;rs7087803;rs11013395;rs7894108;rs7898413;rs4748864;rs7092292;rs11013408;rs11013409;rs2036917;rs5783838;rs4748865;rs9299781;rs9299782;rs528776436;rs551620829	NA	0
1	10:23440001-23480000	10:23480001-23520000	1.087606e-09	HiC	GSE87112	Spleen	intra	rs1408986;rs1408987;rs986151;rs34021380	ENSG00000168267	1
1	10:23440001-23480000	10:24760001-24800000	2.980821e-07	HiC	GSE87112	Spleen	intra	rs1408986;rs1408987;rs986151;rs34021380	ENSG00000269879	1
1	10:23480001-23520000	10:23440001-23480000	1.087606e-09	HiC	GSE87112	Spleen	intra	rs12415184;rs1886763;rs7918487;rs10764393;rs1886764;rs10718721;rs927751;rs4748846;rs1325589;rs7089550;rs10764396	ENSG00000252049	1
