GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs17314832	4	140858717	rs769668	2022-08-30	32193382	Cole JB	2020-03-19	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32193382	Comprehensive genomic analysis of dietary habits in UK Biobank identifies hundreds of genetic associations.	Milk type: Skimmed, semi-skimmed or full cream (UKB data field 1418)	427,252 European ancestry individuals	NA	4q31.1		MAML3			ENSG00000196782	NA	NA	rs769668-T	rs769668	0	769668	intron_variant	0	0.654992	5E-9	8.30102999566398		0.013371	[0.0089-0.0178] unit decrease	NR [NR] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2019-11-05	30239722	Pulit SL	2018-09-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30239722	Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.	Body mass index	434,794 European ancestry female individuals	NA	4q31.1	NA	MAML3			ENSG00000196782	NA	NA	rs57800857-A	rs57800857	0	57800857	intron_variant	0	0.6344	3E-15	14.5228787452803		0.0157	[0.012-0.02] unit increase	NR [~ 27400000] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2019-02-06	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Body mass index	approximately 458,000 European ancestry individuals	NA	4q31.1		MAML3			ENSG00000196782	NA	NA	rs57800857-?	rs57800857	0	57800857	intron_variant	0	NR	1E-12	12		NA		NR [~ 8900000] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2019-11-05	30239722	Pulit SL	2018-09-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30239722	Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.	Body mass index	806,834 European ancestry individuals	NA	4q31.1	NA	MAML3			ENSG00000196782	NA	NA	rs57800857-A	rs57800857	0	57800857	intron_variant	0	0.6344	3E-15	14.5228787452803		0.0157	[0.012-0.02] unit increase	NR [~ 27400000] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2020-04-17	31669095	Zhu Z	2019-10-24	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/31669095	Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.	Body mass index	457,822 European ancestry individuals	NA	4q31.1	NR	MAML3			ENSG00000196782	NA	NA	rs57800857-?	rs57800857	0	57800857	intron_variant	0	NR	3E-13	12.5228787452803		NA		Affymetrix [~ 8270000] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2021-02-18	33128006	Timmins IR	2020-10-30	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/33128006	Genome-wide association study of self-reported walking pace suggests beneficial effects of brisk walking on health and survival.	Walking pace	450,967 European ancestry individuals	NA	4q31.1	MAML3	MAML3			ENSG00000196782	NA	NA	rs57800857-A	rs57800857	0	57800857	intron_variant	0	NR	6E-11	10.2218487496164		0.0085207	[0.006-0.0111] unit decrease	Affymetrix [10061374] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2021-10-18	33980691	Martin S	2021-05-12	Diabetes	www.ncbi.nlm.nih.gov/pubmed/33980691	Genetic evidence for different adiposity phenotypes and their opposing influence on ectopic fat and risk of cardiometabolic disease.	Body fat percentage	442,278 European ancestry individuals	NA	4q31.1		MAML3			ENSG00000196782	NA	NA	rs57800857-A	rs57800857	0	57800857	intron_variant	0	0.63	9E-18	17.0457574905607		0.013	% increase	NR [NR] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2021-10-18	33980691	Martin S	2021-05-12	Diabetes	www.ncbi.nlm.nih.gov/pubmed/33980691	Genetic evidence for different adiposity phenotypes and their opposing influence on ectopic fat and risk of cardiometabolic disease.	Metabolic biomarkers (multivariate analysis)	389,354 European ancestry individuals	NA	4q31.1		MAML3			ENSG00000196782	NA	NA	rs57800857-A	rs57800857	0	57800857	intron_variant	0	0.63	7E-12	11.1549019599857		NA		NR [NR] (imputed)	N
1	rs17314832	4	140863365	rs57800857	2021-10-18	33980691	Martin S	2021-05-12	Diabetes	www.ncbi.nlm.nih.gov/pubmed/33980691	Genetic evidence for different adiposity phenotypes and their opposing influence on ectopic fat and risk of cardiometabolic disease.	High density lipoprotein cholesterol levels	392,965 European ancestry individuals	NA	4q31.1		MAML3			ENSG00000196782	NA	NA	rs57800857-A	rs57800857	0	57800857	intron_variant	0	0.63	1E-6	6		0.009	mmol/L decrease	NR [NR] (imputed)	N
1	rs17314832	4	140868894	rs769662	2020-03-23	31900758	Han X	2020-01-03	Eur J Epidemiol	www.ncbi.nlm.nih.gov/pubmed/31900758	Using Mendelian randomization to evaluate the causal relationship between serum C-reactive protein levels and age-related macular degeneration.	C-reactive protein levels	418,642 British ancestry individuals	NA	4q31.1	NR	MAML3			ENSG00000196782	NA	NA	rs769662-G	rs769662	0	769662	intron_variant	0	0.624579	1E-8	8		0.0121278	[0.008-0.0163] unit increase	NR [NR]	N
