# ALPHA = 0.05
# NUMBER_OF_TESTS = 16986

# _SET1_  VARIABLE = GOBP_PROGESTERONE_METABOLIC_PROCESS (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 1.49385e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000073737     2  169921299  169952677     21       3  27881       2.0203     0.017507             0       2.0203
_SET1_   ENSG00000145214     4     952675     980683      6       1  28137       1.6768     0.038281             0       1.6768
_SET1_   ENSG00000081051     4   74296855   74321891     23       2  27696     -0.17354      0.53525   -8.3267e-17     -0.17354
_SET1_   ENSG00000145545     5    6633456    6669675     74       6  27910      -0.1786      0.52808   -8.3267e-17      -0.1786
_SET1_   ENSG00000187134    10    4934796    5025475     81       7  28023      0.17854      0.38746   -8.3267e-17      0.17854
_SET1_   ENSG00000151632    10    5029967    5060223     12       1  28084     -0.18467      0.53626   -8.3267e-17     -0.18467
_SET1_   ENSG00000196139    10    5077546    5149878     72       8  28021       1.0431      0.12274             0       1.0431
_SET1_   ENSG00000198610    10    5237425    5260912     69       2  28013      0.42001      0.30601   -5.5511e-17      0.42001
_SET1_   ENSG00000148795    10  104590288  104597290     11       3  28081       0.9314      0.15057   -1.1102e-16       0.9314
_SET1_   ENSG00000131808    11   30252563   30256808     10       1  28087     -0.20011      0.54159   -8.3267e-17     -0.20011
_SET1_   ENSG00000036530    14  100150641  100193638     55       5  28012     -0.22336      0.54689   -8.3267e-17     -0.22336
_SET1_   ENSG00000131748    17   37793318   37819737      5       1  28114       1.8577     0.025412             0       1.8577
_SET1_   ENSG00000173757    17   40351186   40428725     21       1  28135       0.2567      0.36357   -5.5511e-17       0.2567
