ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000109390	NDUFC1	4	140188034	140223705	-1	protein_coding	4717	NDUFC1	0.459572169037874	0.118753905	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	4.71204472692e-05	rs17314832	1
ENSG00000164134	NAA15	4	140222609	140341187	1	protein_coding	80155	NAA15	0.998576839501621	-1.069306892	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	4.71204472692e-05	rs17314832	1
ENSG00000200520	RNU6-1214P	4	140239532	140239640	1	snRNA	NA	RNU6-1214P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	7.74151442417e-05	rs17314832	1
ENSG00000145391	SETD7	4	140417095	140527853	-1	protein_coding	80854	SETD7	0.293260030580492	-2.639483136	0	0	0	NA	NA	NA	NA	Yes	IMR90	4.43424329403e-05	rs17314832	1
ENSG00000272717	RP11-342I1.2	4	140477953	140478797	1	antisense	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	7.74151442417e-05	rs17314832	1
ENSG00000261268	RP11-308D13.3	4	140539290	140544386	-1	lincRNA	101927490	NA	NA	NA	0	0	1	0.000126253	0.00684124	GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic	NA	Yes	IMR90	4.43424329403e-05	rs17314832	1
ENSG00000085871	MGST2	4	140586922	140661899	1	protein_coding	4258	MGST2	0.0551505663366712	-0.020765294	0	0	81	9.2575e-09	5.79187849925993e-05	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	+	Yes	IMR90	9.67592936557e-06	rs17314832	1
ENSG00000201533	RN7SKP237	4	140606281	140606581	-1	misc_RNA	NA	RN7SKP237	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	9.67592936557e-06	rs17314832	1
ENSG00000178458	H3F3AP6	4	140619298	140619708	-1	pseudogene	NA	H3F3AP6	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	9.67592936557e-06	rs17314832	1
ENSG00000196782	MAML3	4	140637907	141075338	-1	protein_coding	55534	MAML3	0.32989504838315	-0.192465137	124	19.95	114	1.1135e-40	0	eQTLcatalogue/Lepik_2017_ge_blood:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Testis	+	Yes	Adult_Cortex:Fetal_Cortex:Left_Ventricle:IMR90	9.67592936557e-06	rs17314832	1
