ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000170248	PDCD6IP	3	33839844	33911194	1	protein_coding	10015	PDCD6IP	0.751958921876168	-1.337775632	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	0.000128355977551	rs4678729	1
ENSG00000226320	AC018359.1	3	34200826	34604369	1	lincRNA	101929859	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:Trophoblast-like_Cell:hESC	7.14105062329e-06	rs4678729	1
ENSG00000236452	AC123023.1	3	34244736	34310303	1	lincRNA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	7.14105062329e-06	rs4678729	1
ENSG00000235534	FECHP1	3	34914133	34915346	1	pseudogene	NA	FECHP1	NA	NA	15	11.29	26	4.72949e-05	1.22307e-15	GTEx/v8/Testis	-	Yes	Left_Ventricle:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.14105062329e-06	rs4678729	1
ENSG00000228767	KRT8P18	3	35257197	35258641	-1	pseudogene	NA	KRT8P18	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	7.14105062329e-06	rs4678729	1
ENSG00000212442	RNU6-243P	3	35298332	35298438	-1	snRNA	NA	RNU6-243P	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	2.59879591936e-05	rs4678729	1
ENSG00000172995	ARPP21	3	35680437	35835988	1	protein_coding	10777	ARPP21	0.00367693074803101	-0.595813298	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:Trophoblast-like_Cell:hESC	5.94769749755e-05	rs4678729	1
ENSG00000230830	ARPP21-AS1	3	35691689	35693453	-1	antisense	NA	ARPP21-AS1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesendoderm:Trophoblast-like_Cell:hESC	5.94769749755e-05	rs4678729	1
ENSG00000207625	MIR128-2	3	35785968	35786051	1	miRNA	406916	MIR128-2	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.14105062329e-06	rs4678729	1
ENSG00000226489	AC104308.2	3	35913358	35913690	1	pseudogene	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.14105062329e-06	rs4678729	1
